song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3
a045fea9-1a1d-5524-ab61-2a28364b23b6,13f57eeb-c505-5e48-97ed-87946d7bd4de,1,Naa Bole Naa Bole Naa Bole Re,Lata Mangeshkar,4.75,https://www.youtube.com/watch?v=bMd_Ab7U8VU,https://music.youtube.com/watch?v=FGkDe6cau_Y,https://music.youtube.com/watch?v=lNKYsK8eGf0,https://music.youtube.com/watch?v=qUiOJ-WU8K0
c8262136-f546-5b1d-bbff-6f36b2ac9dac,13f57eeb-c505-5e48-97ed-87946d7bd4de,5,Kitna Hasin Hai Mausam,"Lata Mangeshkar, C. Ramchandra",4.67,https://www.youtube.com/watch?v=rrzcIwGwvik,https://music.youtube.com/watch?v=6vnEoT9Q_3U,https://music.youtube.com/watch?v=q9OvvL8K_Tc,https://music.youtube.com/watch?v=jBF4nPm_DOI
452d5b81-8670-5080-85b9-1b0501665cb2,3c0b202f-14ee-548b-bf80-c1349d40814d,6,Piya Piya Piya Mera Jiya Pukare,"Asha Bhosle, Kishore Kumar",4.5,https://www.youtube.com/watch?v=5kiZPy8Ghb8,https://music.youtube.com/watch?v=JpYfxqsKVYk,https://music.youtube.com/watch?v=OSlIUUwSGqw,https://music.youtube.com/watch?v=04jHZC61zW0
b2156f91-d981-5566-8a73-b6e2f68215bc,741220a0-36c3-5ace-8131-d0fd8bec6e3c,1,Bhula Nahin Dena Ji,"Lata Mangeshkar, Mohammed Rafi",4.0,https://www.youtube.com/watch?v=V3JKsOmIttM,https://music.youtube.com/watch?v=wVIYXaTq3xE,https://music.youtube.com/watch?v=Ccxg8RWwDeo,https://music.youtube.com/watch?v=eRCCJqzAcqM
6d570813-414f-50c6-8ae0-671573c999ea,741220a0-36c3-5ace-8131-d0fd8bec6e3c,7,Tasveer Banaata Hoon Tasveer Nahin Banti,Talat Mahmood,4.5,https://www.youtube.com/watch?v=eOnw5V1SPVs,https://music.youtube.com/watch?v=zXuuWgw0KxA,https://music.youtube.com/watch?v=LpUenkGr1KU,https://music.youtube.com/watch?v=NNW34zmeUU0
0f68f6c9-9e98-59bd-a101-9d73e25e87ed,d6a5605a-a0eb-533d-a19e-3f312f46c53f,2,Aan Milo Shyam Saanwre,"Geeta Dutt, Manna Dey",4.25,https://www.youtube.com/watch?v=oSdyEpeGjiA,https://music.youtube.com/watch?v=Ye3bX1vd6PU,https://music.youtube.com/watch?v=foS4NCsWnV8,https://music.youtube.com/watch?v=C0oSYtziaik
1c071dfc-5646-5729-b76f-77d982df2bd1,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,1,Teri Duniya Mein Jeene Se,Hemant Kumar,4.8,https://www.youtube.com/watch?v=8rJhomw8HPg,https://music.youtube.com/watch?v=KDRwYThiIis,https://music.youtube.com/watch?v=B1covEDNwTQ,https://music.youtube.com/watch?v=7RJXz3y2WQU
e8604c2a-aad7-5e13-a561-25ac9af2e155,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,3,Chup Hai Dharti Chup Hain Chand Sitare,Hemant Kumar,4.4,https://www.youtube.com/watch?v=msMWpxTS194,https://music.youtube.com/watch?v=F3MKlocJgyg,https://music.youtube.com/watch?v=kPXgbJBvnDU,https://music.youtube.com/watch?v=tQxEu-LYbZE
82cb8ae0-ff11-54d4-9499-d568b75ee629,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,4,Phaili Hui Hain Sapnon Ki Baahen,Lata Mangeshkar,4.33,https://www.youtube.com/watch?v=CrwaKcyjyNY,https://music.youtube.com/watch?v=W13FnVTPaDo,https://music.youtube.com/watch?v=Lxf-n4eMkHw,https://music.youtube.com/watch?v=LZYtg9MEZi8
2e0dc365-45dd-5147-a150-0cf1a3bc8fb8,65e2d835-be50-5c93-88d3-4be3788553bb,1,Jhanak Jhanak Payal Baaje,Ustad Amir Khan,4.0,https://www.youtube.com/watch?v=OlMt-ev6sRE,https://music.youtube.com/watch?v=2vo_HTAgpE4,https://music.youtube.com/watch?v=ybTMtd0sIgE,https://music.youtube.com/watch?v=pkFrEKd4d-0
