song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3
c79955d0-b799-5d21-b681-33f3ebbe7bb2,3d2fe4a4-a451-5e0c-a9a0-b73a4c04b746,1,Baalam Aay Baso More Man Mein,Kundan Lal Saigal,5.0,https://www.youtube.com/watch?v=h0N1tL7kdL4,https://music.youtube.com/watch?v=CL1S5Iz7saY,https://music.youtube.com/watch?v=8D1hav7Hsek,https://music.youtube.com/watch?v=h0N1tL7kdL4
27de46f2-761c-5e3b-94ef-01d6856aaec2,d163e102-278a-5b52-ba2b-90e8f9009019,3,Ek Bangla Bane Nyara,Kundan Lal Saigal,5.0,https://www.youtube.com/watch?v=3N7Lk85PEQ8,https://music.youtube.com/watch?v=3N7Lk85PEQ8,https://music.youtube.com/watch?v=YJyQfkew_E8,https://music.youtube.com/watch?v=lBtameWYB48
b01bc0a3-2d83-51ee-be1b-c7e29dedab16,229548ed-7456-58b1-8288-8b8d7620f67f,4,Duniya Rang Rangeeli Baba,"Pankaj Mullick, Uma Shashi, K.L. Saigal",5.0,https://www.youtube.com/watch?v=U-Ne5sFSv10,https://music.youtube.com/watch?v=d2dQWFVU8Qg,https://music.youtube.com/watch?v=5ByS-ROPhQw,https://music.youtube.com/watch?v=C0HgDI2VGzQ
c7db745d-d45d-5039-9822-44b0be6c637e,3ab36852-50b1-5d7f-a501-aed3691ddc3e,13,Babul Mora Naihar Chhooto Hi Jaye,K.L. Saigal,5.0,https://www.youtube.com/watch?v=sRUFEm1CHXY,https://music.youtube.com/watch?v=0wBl-AcSc5k,https://music.youtube.com/watch?v=59YWhVxo82w,https://music.youtube.com/watch?v=ouheLTzfeBc
123b7e5c-d1d6-5521-838f-91852e825642,8ef46315-d843-56fb-9363-f54657c91b10,3,Piya Milan Ko Jaana,Pankaj Mullick,5.0,https://www.youtube.com/watch?v=xchnkKyn9Rg,https://music.youtube.com/watch?v=cJODOoWRbtg,https://music.youtube.com/watch?v=1H4qUl3lUxY,https://music.youtube.com/watch?v=xcDyxFo8id8
3af6e5c3-932e-576e-a255-7af18864233e,9aa272de-f992-53fd-8b3f-1417d1a60f93,7,Chal Chal Re Naujawan Chalo Sang Chalen Hum,"Leela Chitnis, Ashok Kumar",4.5,https://www.youtube.com/watch?v=Tg3seeKuWzY,https://music.youtube.com/watch?v=Tg3seeKuWzY,https://music.youtube.com/watch?v=ZymljkSBS4U,https://music.youtube.com/watch?v=tgzTmVEJoH0
7c67ec90-3dd8-54c1-adfc-457f3fb25648,f41dea68-23ce-577c-b3a6-d12d35faf899,2,Main Kya Janoon Kya Jadoo Hai,K.L. Saigal,5.0,https://www.youtube.com/watch?v=xgiKuSLwVjA,https://music.youtube.com/watch?v=cmrLfIYcvJo,https://music.youtube.com/watch?v=xgiKuSLwVjA,https://music.youtube.com/watch?v=JJlHdQlw9y0
7e64ec37-97a6-57f2-b88a-974a895ba216,f41dea68-23ce-577c-b3a6-d12d35faf899,3,So Ja Rajkumari So Ja,K.L. Saigal,5.0,https://www.youtube.com/watch?v=r5Icx2zEn5g,https://music.youtube.com/watch?v=cNM6T0_VtK4,https://music.youtube.com/watch?v=ggZ5cofWd1Q,https://music.youtube.com/watch?v=aZ4TkzERwfI
c23a1a44-ed3b-58b2-83e0-c4a700e1ac54,52493f0c-af73-51ea-b041-41b939e6028d,1,Duniya Ye Duniya Toofan Mail,Kanan Devi,5.0,http://www.youtube.com/watch?v=0_NmsSA0eZE,https://music.youtube.com/watch?v=kNZS86YYP0g,https://music.youtube.com/watch?v=-PsuMEQCUWE,https://music.youtube.com/watch?v=anqYCg0bb0k
f767607c-74db-568c-9fcc-34af91bed266,e6ec2f80-c873-5547-acef-4fcfb088dc59,1,Door Hato Ae Duniya Walon Hindustan Humara Hai,"Amirbai Karnataki, Khan Mastana",4.9,https://www.youtube.com/watch?v=TZhY2pCGEGM,https://music.youtube.com/watch?v=ZZJbxzgcDUs,https://music.youtube.com/watch?v=EQ6HnCDRyJg,https://music.youtube.com/watch?v=jP86KUfWgGM
7477c5b1-a9f4-577b-9003-b2cdd17304f8,e6ec2f80-c873-5547-acef-4fcfb088dc59,4,Dheere Dheere Aa Re Baadal (Duet),"Amirbai Karnataki, Arun Kumar",4.71,https://www.youtube.com/watch?v=f-as0MBnjtA,https://music.youtube.com/watch?v=SyoB7ulQk6w,https://music.youtube.com/watch?v=IfkN1Z9Cx2Y,https://music.youtube.com/watch?v=iQDjEb6bNww
499e511e-8be5-565b-97e6-ce963367b1de,e6ec2f80-c873-5547-acef-4fcfb088dc59,7,Papiha Re Mere Piya Se Kahiyo Jaye,Parul Ghosh,4.33,https://www.youtube.com/watch?v=6LsbyyYQnsA,https://music.youtube.com/watch?v=DmUAch3pXZk,https://music.youtube.com/watch?v=pDJrO8WejP4,https://music.youtube.com/watch?v=-l1tRNmy5EE
c820bf3c-c6a5-5f8e-88d6-8d96df8d52b1,4ff7954f-161d-544f-858e-d9c2aef961a9,4,Rumjhum Rumjhum Chaal Tihaari,K.L. Saigal,4.5,https://www.youtube.com/watch?v=yE-74diRwsU,https://music.youtube.com/watch?v=nncyyp8eOl0,https://music.youtube.com/watch?v=XfW6DcVzh4g,
03e249ed-b351-5306-84d0-62c53d023208,4ff7954f-161d-544f-858e-d9c2aef961a9,5,Baag Laga Doon Sajni,K.L. Saigal,4.5,https://www.youtube.com/watch?v=39L_Q1-6ZHg,https://music.youtube.com/watch?v=NSK4sL9qlQg,https://music.youtube.com/watch?v=xGMt0FxWt18,https://music.youtube.com/watch?v=uN7EUuMHl7U
e35bc0fc-5e10-5b4c-9aa3-4e941e8837a5,4ff7954f-161d-544f-858e-d9c2aef961a9,7,Sapt Suran Teen Graam Gao Sab Gunijan,K.L. Saigal,5.0,https://www.youtube.com/watch?v=G04LrEYepSQ,https://music.youtube.com/watch?v=ZgQeJGvFafA,https://music.youtube.com/watch?v=Eg2XtSY0amo,https://music.youtube.com/watch?v=_yo-KS1DgZ4
babb02ee-6137-5f73-94f0-d49bd84009ac,4ff7954f-161d-544f-858e-d9c2aef961a9,11,Diya Jalao Jagmag Jagmag (Din Soona Suraj Bina),K.L. Saigal,4.5,https://www.youtube.com/watch?v=-cMziga78eQ,https://music.youtube.com/watch?v=pkB7jX2FY8E,https://music.youtube.com/watch?v=-sWo9fkWdRY,https://music.youtube.com/watch?v=Uth6LFkFyk0
dc8cc023-0ffd-5f91-bff9-c2954ab485e7,5e29d7fd-1664-5759-acd0-f542722dd193,1,Ankhiyan Mila Ke,Zohrabai,5.0,https://www.youtube.com/watch?v=EsS7JvOzWjw,https://music.youtube.com/watch?v=7nfwK4dEXrA,https://music.youtube.com/watch?v=c3P_-oEpizw,https://music.youtube.com/watch?v=CQ_n8v5KwA4
