song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3,youtubeurlid,musicurlid1,musicurlid2,musicurlid3
f9a83c0a-9514-547c-b985-0dc3da86724c,7cdd38a7-566b-5b68-9d8c-636321717cb3,1,Jana Gana Mana Adhinayak Jay Hey,Various artists,4.5,https://www.youtube.com/watch?v=2RGwAZi0c-o,https://music.youtube.com/watch?v=Ypm1ifY7HJo,https://music.youtube.com/watch?v=xoRxKlZeEeU,https://music.youtube.com/watch?v=r3TtgYuaVFk,2RGwAZi0c-o,Ypm1ifY7HJo,xoRxKlZeEeU,r3TtgYuaVFk
7fe1c34d-acf3-5759-a672-2532fa2297bf,183ac83f-cb49-5894-a881-f2aa44ef6ae9,8,Dil Jalta Hai Toh Jalne De,Mukesh,4.67,https://www.youtube.com/watch?v=WsWYdBkne6M,https://music.youtube.com/watch?v=CLZy9I7cZZg,https://music.youtube.com/watch?v=UaHAGje_sDo,https://music.youtube.com/watch?v=PRm6_mwqAxc,WsWYdBkne6M,CLZy9I7cZZg,UaHAGje_sDo,PRm6_mwqAxc
8e516925-1918-538b-864d-f3da6c84184a,38dee653-c491-55ed-bbfd-b39a366a5ba3,1,Jawan Hai Mohabbat Hasin Hai Zamana,Noor Jehan,5.0,https://www.youtube.com/watch?v=-GaFWz_jH5g,https://music.youtube.com/watch?v=-NNoEsx65L8,https://music.youtube.com/watch?v=dIeyfr5pktc,https://music.youtube.com/watch?v=sKsLgfU-08E,-GaFWz_jH5g,-NNoEsx65L8,dIeyfr5pktc,sKsLgfU-08E
445b3afa-0f23-503d-ad36-86295b2cdac9,38dee653-c491-55ed-bbfd-b39a366a5ba3,2,Awaaz De Kahan Hai,"Noor Jehan, Surendra",5.0,https://www.youtube.com/watch?v=ZuVqjXWiHWc,https://music.youtube.com/watch?v=jlw6WIeJeMQ,https://music.youtube.com/watch?v=LZBBPB0cAfI,https://music.youtube.com/watch?v=1RIobTw1_6E,ZuVqjXWiHWc,jlw6WIeJeMQ,LZBBPB0cAfI,1RIobTw1_6E
d5f1dc7e-37e4-5fdf-a253-0ff35ba55a9d,38dee653-c491-55ed-bbfd-b39a366a5ba3,5,Aaja Meri Barbaad Mohabbat Ke Sahaare,Noor Jehan,4.33,https://www.youtube.com/watch?v=t8tOSHqkaL4,https://music.youtube.com/watch?v=rV208sebFtQ,https://music.youtube.com/watch?v=isBPuQjNQns,https://music.youtube.com/watch?v=lb6C6mrVEtM,t8tOSHqkaL4,rV208sebFtQ,isBPuQjNQns,lb6C6mrVEtM
5c450263-2202-5538-bf8d-9968feb49bcc,38dee653-c491-55ed-bbfd-b39a366a5ba3,6,Socha Tha Kya Kya Ho Gaya,Suraiya,4.33,https://www.youtube.com/watch?v=y6yjdXCXwcU,https://music.youtube.com/watch?v=ilOcw0jnBT0,https://music.youtube.com/watch?v=GsXhcv-i0CY,https://music.youtube.com/watch?v=y6yjdXCXwcU,y6yjdXCXwcU,ilOcw0jnBT0,GsXhcv-i0CY,y6yjdXCXwcU
6776915e-d7f8-5991-8116-0f49135f5e0b,2bb8aa93-50e5-50a8-8dd8-904a74b75ecf,3,Gham Diye Mustaqil Kitna Naazuk Hai Dil,K.L. Saigal,4.67,https://www.youtube.com/watch?v=g32APL-cQfY,https://music.youtube.com/watch?v=QFVtPBBRoP0,https://music.youtube.com/watch?v=G6DZxpvYKFk,https://music.youtube.com/watch?v=zTpQkWx0B5M,g32APL-cQfY,QFVtPBBRoP0,G6DZxpvYKFk,zTpQkWx0B5M
1b7be64d-b71f-5b99-a9e3-2152da5c8d02,2bb8aa93-50e5-50a8-8dd8-904a74b75ecf,7,Jab Dil Hi Toot Gaya,K.L. Saigal,5.0,https://www.youtube.com/watch?v=Ap39WcjG7p0,https://music.youtube.com/watch?v=qjX9xHBez7E,https://music.youtube.com/watch?v=y9ofWrDvJV8,https://music.youtube.com/watch?v=dvWnnVHY0x4,Ap39WcjG7p0,qjX9xHBez7E,y9ofWrDvJV8,dvWnnVHY0x4
8e0f3d1b-265b-57d8-bdfb-f4bd37a6c10d,2bb8aa93-50e5-50a8-8dd8-904a74b75ecf,8,Ae Dil-E-Beqaraar Jhoom,K.L. Saigal,4.5,https://www.youtube.com/watch?v=jEMR9V-QH1U,https://music.youtube.com/watch?v=ssV9q6RnTys,https://music.youtube.com/watch?v=jEMR9V-QH1U,https://music.youtube.com/watch?v=ihpCy_p5_ts,jEMR9V-QH1U,ssV9q6RnTys,jEMR9V-QH1U,ihpCy_p5_ts
3b228c76-f0a2-55f5-bc85-da9f1eae902f,ae0eb72b-4a58-5a27-b36a-20a78a851e84,5,Mera Sundar Sapna Beet Gaya,Geeta Roy,4.33,http://www.youtube.com/watch?v=UDfUBQPbYGs,https://music.youtube.com/watch?v=XfAagdgVkDc,https://music.youtube.com/watch?v=XDSw_TdxmzM,https://music.youtube.com/watch?v=qTp1BEZ5WBc,UDfUBQPbYGs,XfAagdgVkDc,XDSw_TdxmzM,qTp1BEZ5WBc
681cd17c-403f-59aa-8627-0db34b485e6d,8e675dcd-9230-5c8c-b46e-9bd81ca333fc,2,Aana Meri Jaan Meri Jaan Sunday Ke Sunday,"Meena Kapoor, Chitalkar",4.67,https://www.youtube.com/watch?v=RZP_4Hf8Gi8,https://music.youtube.com/watch?v=qewp3b4156Q,https://music.youtube.com/watch?v=-M37f8Z31yw,https://music.youtube.com/watch?v=v6xD5qo9lsw,RZP_4Hf8Gi8,qewp3b4156Q,-M37f8Z31yw,v6xD5qo9lsw
38489c4c-db05-5710-a247-bf1b24695ba3,8e675dcd-9230-5c8c-b46e-9bd81ca333fc,3,Aana Meri Jaan Meri Jaan Sunday Ke Sunday,"Shamshad Begum, Chitalkar",4.67,https://www.youtube.com/watch?v=wsXEPAVkL_Y,https://music.youtube.com/watch?v=qewp3b4156Q,https://music.youtube.com/watch?v=wsXEPAVkL_Y,https://music.youtube.com/watch?v=v6xD5qo9lsw,wsXEPAVkL_Y,qewp3b4156Q,wsXEPAVkL_Y,v6xD5qo9lsw
4b08a4ee-43f8-5f44-96c6-80a1369fc0dc,8e675dcd-9230-5c8c-b46e-9bd81ca333fc,9,Maar Kataari Mar Jaana (Hamen Kya Pata Tha),Amirbai,4.33,https://www.youtube.com/watch?v=sqdpFmIE1to,https://music.youtube.com/watch?v=7VbGYh-r6WY,https://music.youtube.com/watch?v=_Mgo9cxaWSM,https://music.youtube.com/watch?v=0zDAusR5QqQ,sqdpFmIE1to,7VbGYh-r6WY,_Mgo9cxaWSM,0zDAusR5QqQ
63e577c5-71f9-52dc-8b92-cf29edc0f847,2852d3e8-1c5f-536c-8c8b-b2fad880f91a,3,Zinda Hoon Is Tarah,Mukesh,4.33,https://www.youtube.com/watch?v=0rMOxtnuSfw,https://music.youtube.com/watch?v=8mWRUIAGqKg,https://music.youtube.com/watch?v=0rMOxtnuSfw,https://music.youtube.com/watch?v=fmKU14P7BRQ,0rMOxtnuSfw,8mWRUIAGqKg,0rMOxtnuSfw,fmKU14P7BRQ
