song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3,youtubeurlid,musicurlid1,musicurlid2,musicurlid3
4423071c-03ea-51d8-9d24-87aa963c88bd,475d351d-9dd7-5043-8ba0-df61d262ee26,2,Haan Maine Chhoo Kar Dekha Hai,Gayatri Iyer,4.5,http://www.youtube.com/watch?v=YN2CGXw08dk,https://music.youtube.com/watch?v=kxP930TX_Aw,https://music.youtube.com/watch?v=YN2CGXw08dk,https://music.youtube.com/watch?v=b58BrXtg_To,YN2CGXw08dk,kxP930TX_Aw,YN2CGXw08dk,b58BrXtg_To
92f8f89f-bedf-5c2c-bc86-23945277b5dc,ba947569-da79-59fe-bb5b-4837109d59a7,6,Kajraare Kajraare Tere Kaare Kaare Naina,"Alisha Chinai, Shankar Mahadevan, Javed Ali",4.75,http://www.youtube.com/watch?v=DovUEruZ2q4&feature=plcp,https://music.youtube.com/watch?v=4dsFQFCvVGU,,,DovUEruZ2q4,4dsFQFCvVGU,,
fa2e12a2-30f6-567e-b908-e994e43bf617,c08321de-78fc-570c-a921-9bd807a5e17d,5,Bavra Mann (Male),Swanand Kirkire,4.75,http://www.youtube.com/watch?v=yRvEVVO4LFs&feature=plcp,https://music.youtube.com/watch?v=qzdiFlT9vAs,https://music.youtube.com/watch?v=QNB4ah9r79M,https://music.youtube.com/watch?v=75HtUkww2aE,yRvEVVO4LFs,qzdiFlT9vAs,QNB4ah9r79M,75HtUkww2aE
019a1e92-2e5d-5ca1-a2bf-a738208f4c49,c08321de-78fc-570c-a921-9bd807a5e17d,8,Bavra Mann (Female),Shubha Mudgal,5.0,https://www.youtube.com/watch?v=54_1VzgPC50,https://music.youtube.com/watch?v=54_1VzgPC50,https://music.youtube.com/watch?v=iQ56ImSuJOQ,https://music.youtube.com/watch?v=TJgCn9bFLow,54_1VzgPC50,54_1VzgPC50,iQ56ImSuJOQ,TJgCn9bFLow
8dfaf808-8468-5740-8f0f-a4641524280b,57536d5d-6755-5c14-a190-763b4f439770,6,Chand Ki Roshni,KK,4.33,http://www.youtube.com/watch?v=7lqsXUmrjmc,https://music.youtube.com/watch?v=Jw4sQNFZG9w,https://music.youtube.com/watch?v=Bz9gQFB9jCw,https://music.youtube.com/watch?v=3rXm-G7uQF4,7lqsXUmrjmc,Jw4sQNFZG9w,Bz9gQFB9jCw,3rXm-G7uQF4
3b3232fd-f01c-5751-8114-c69b719f2df0,f2fcdc2d-0f22-5f6d-812e-3627ade62a9a,1,Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan,4.5,https://www.youtube.com/watch?v=iasxMdSu7Jo,https://music.youtube.com/watch?v=iasxMdSu7Jo,https://music.youtube.com/watch?v=S3eDzdyr23Q,https://music.youtube.com/watch?v=cTGwWx5bKGI,iasxMdSu7Jo,iasxMdSu7Jo,S3eDzdyr23Q,cTGwWx5bKGI
8cbe66ec-5958-570f-8de3-383377c2906f,f2fcdc2d-0f22-5f6d-812e-3627ade62a9a,2,Aadat - I,Atif Aslam,4.67,https://www.youtube.com/watch?v=e5LShHAE03A,https://music.youtube.com/watch?v=QGNcfBhGFdc,https://music.youtube.com/watch?v=eK5gPcFjQps,https://music.youtube.com/watch?v=AKUk1v3rBvc,e5LShHAE03A,QGNcfBhGFdc,eK5gPcFjQps,AKUk1v3rBvc
0d229588-803b-5501-a269-ec0ea55a33c1,f2fcdc2d-0f22-5f6d-812e-3627ade62a9a,6,Tujhe Dekh Dekh,Rahat Fateh Ali Khan,4.75,https://www.youtube.com/watch?v=rNOk3Rd3aDA,https://music.youtube.com/watch?v=a6aarzS3tGA,,,rNOk3Rd3aDA,a6aarzS3tGA,,
c071e0aa-27f2-5f9d-98ec-96444137697f,0f791af4-f49d-5a59-81d6-fba656502571,5,Guncha,Mohit Chauhan,4.5,https://www.youtube.com/watch?v=DBn97hlqIOY,https://music.youtube.com/watch?v=4WRP2G-Azb0,https://music.youtube.com/watch?v=4WcMSSRI4Tw,https://music.youtube.com/watch?v=ymWdHvmec6g,DBn97hlqIOY,4WRP2G-Azb0,4WcMSSRI4Tw,ymWdHvmec6g
6d9f5c30-8cda-5f6f-b0e2-40e792ee8972,a9dfb8be-0d85-57f3-ab34-8fa3fb6613ab,1,Dheere Jalna,"Sonu Nigam, Shreya Ghoshal",4.5,http://www.youtube.com/watch?v=LqMhqSwi7Fw&feature=plcp,https://music.youtube.com/watch?v=LqMhqSwi7Fw,https://music.youtube.com/watch?v=ekgnNMwne2w,https://music.youtube.com/watch?v=vpTqUne_g6E,LqMhqSwi7Fw,LqMhqSwi7Fw,ekgnNMwne2w,vpTqUne_g6E
a831e578-09cb-5779-9cfb-14f6a63dc6ce,e17176f1-d81d-5197-be6e-eae112d2c065,1,Piyu Bole,"Shreya Ghoshal, Sonu Nigam",4.75,https://www.youtube.com/watch?v=ZAkr0KFFLLs,https://music.youtube.com/watch?v=rvnyVvSRAxs,https://music.youtube.com/watch?v=JZ0zD23Wq9E,https://music.youtube.com/watch?v=WAnDWn4R1pk,ZAkr0KFFLLs,rvnyVvSRAxs,JZ0zD23Wq9E,WAnDWn4R1pk
e1d32568-69da-5272-b7ce-fd588fdbe785,e17176f1-d81d-5197-be6e-eae112d2c065,3,Soona Mann Ka Aangan,"Shreya Ghoshal, Sonu Nigam",4.5,https://www.youtube.com/watch?v=eTnrzEuVz-0,https://music.youtube.com/watch?v=H-UeNnrQBF4,https://music.youtube.com/watch?v=eTnrzEuVz-0,https://music.youtube.com/watch?v=McjR2Z3yq6M,eTnrzEuVz-0,H-UeNnrQBF4,eTnrzEuVz-0,McjR2Z3yq6M
860add9a-e338-5bc9-a04c-342c979727b5,e17176f1-d81d-5197-be6e-eae112d2c065,4,Kaisi Paheli Zindagani,Sunidhi Chauhan,4.67,https://www.youtube.com/watch?v=-6Y8hMyEoV8,https://music.youtube.com/watch?v=-6Y8hMyEoV8,https://music.youtube.com/watch?v=1mrjO6ash_Q,,-6Y8hMyEoV8,-6Y8hMyEoV8,1mrjO6ash_Q,
9a9fb1a4-b5ba-594b-a9e3-28629cec691a,84da7197-47a7-5662-a90a-9152351aed0d,3,Naina Neer Baha,Sadhna Sargam,4.67,https://www.youtube.com/watch?v=mV3C75QC8ds,https://music.youtube.com/watch?v=mV3C75QC8ds,https://music.youtube.com/watch?v=zT8XelLXn_8,https://music.youtube.com/watch?v=M_zxXc511Ss,mV3C75QC8ds,mV3C75QC8ds,zT8XelLXn_8,M_zxXc511Ss
7e79dab4-04d2-503a-943b-3744aed5ec03,45b38cd2-c2a1-5335-b01b-5c920573b83b,2,Woh Lamhe Woh Baatein,Atif Aslam,4.5,https://www.youtube.com/watch?v=Sut_KOIbwn0,https://music.youtube.com/watch?v=FLKxnL7KwHw,https://music.youtube.com/watch?v=xgZJs6KnBTQ,https://music.youtube.com/watch?v=xLXimDmYhnI,Sut_KOIbwn0,FLKxnL7KwHw,xgZJs6KnBTQ,xLXimDmYhnI
074fba36-ced9-5dbf-b8aa-27be9518a30f,49461675-2522-5c9e-8610-2b96c89a7f9c,1,Maula Mere Maula (Aankhen Teri),Roop Kumar Rathod,4.5,https://www.youtube.com/watch?v=boRd0WoCemI,https://music.youtube.com/watch?v=fxfezWYW39M,https://music.youtube.com/watch?v=9VvWddZVW48,https://music.youtube.com/watch?v=73NAG-tigAQ,boRd0WoCemI,fxfezWYW39M,9VvWddZVW48,73NAG-tigAQ
df440d65-08f7-5966-b71b-80636106f2a1,a828fbca-ee93-5c85-a526-dfe607321b62,5,Aaj Ki Raat,"Alisha Chinai, Mahalakshmi Iyer, Sonu Nigam",4.5,http://www.youtube.com/watch?v=OXOj4bUuzSg&feature=plcp,https://music.youtube.com/watch?v=OXOj4bUuzSg,https://music.youtube.com/watch?v=YW25SKnlEi0,https://music.youtube.com/watch?v=dHe6KAIg-H4,OXOj4bUuzSg,OXOj4bUuzSg,YW25SKnlEi0,dHe6KAIg-H4
05116731-7bfd-55f5-a302-39ba3b7b08df,70c2f1c5-2c78-5bd8-87e7-5d3c420cec80,1,Yeh Hausla Kaise Jhuke,"Shafqat Amanat Ali, Salim Merchant",4.67,https://www.youtube.com/watch?v=Hye8yunxwIc,https://music.youtube.com/watch?v=eWMrEIBzH7E,,,Hye8yunxwIc,eWMrEIBzH7E,,
4e414465-3e32-55c8-88fa-ce7a8b35eeeb,91e4723e-1b97-53e0-895d-30b6b628b39c,2,Bheegi Bheegi Si Hain Raaten,James,4.5,https://www.youtube.com/watch?v=WeY9hdsmIaQ,https://music.youtube.com/watch?v=r3K6i3UspKY,,,WeY9hdsmIaQ,r3K6i3UspKY,,
b17b3782-d67f-5905-91c1-d5366dee4491,213bf8de-a802-5724-99a4-6526925982e4,1,Kabhi Alvida Naa Kehna,"Sonu Nigam, Alka Yagnik",4.6,https://www.youtube.com/watch?v=O8fIwHfZz2E,https://music.youtube.com/watch?v=v9D54dHDiMs,https://music.youtube.com/watch?v=nmTp_esz_Q8,https://music.youtube.com/watch?v=poh5_x_3sr8,O8fIwHfZz2E,v9D54dHDiMs,nmTp_esz_Q8,poh5_x_3sr8
c1eba095-9b0e-5631-a2a8-e6180307ea2b,213bf8de-a802-5724-99a4-6526925982e4,2,Mitwa,"Shafqat Amanat Ali, Shankar Mahadevan, Caralisa Monteiro",4.8,https://www.youtube.com/watch?v=ru_5PA8cwkE,https://music.youtube.com/watch?v=Suv5QfWKaaw,https://music.youtube.com/watch?v=aXj01m_30_Y,,ru_5PA8cwkE,Suv5QfWKaaw,aXj01m_30_Y,
