song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3,youtubeurlid,musicurlid1,musicurlid2,musicurlid3
a045fea9-1a1d-5524-ab61-2a28364b23b6,13f57eeb-c505-5e48-97ed-87946d7bd4de,1,Naa Bole Naa Bole Naa Bole Re,Lata Mangeshkar,4.75,https://www.youtube.com/watch?v=bMd_Ab7U8VU,https://music.youtube.com/watch?v=FGkDe6cau_Y,https://music.youtube.com/watch?v=lNKYsK8eGf0,https://music.youtube.com/watch?v=qUiOJ-WU8K0,bMd_Ab7U8VU,FGkDe6cau_Y,lNKYsK8eGf0,qUiOJ-WU8K0
c8262136-f546-5b1d-bbff-6f36b2ac9dac,13f57eeb-c505-5e48-97ed-87946d7bd4de,5,Kitna Hasin Hai Mausam,"Lata Mangeshkar, C. Ramchandra",4.67,https://www.youtube.com/watch?v=rrzcIwGwvik,https://music.youtube.com/watch?v=6vnEoT9Q_3U,https://music.youtube.com/watch?v=q9OvvL8K_Tc,https://music.youtube.com/watch?v=jBF4nPm_DOI,rrzcIwGwvik,6vnEoT9Q_3U,q9OvvL8K_Tc,jBF4nPm_DOI
452d5b81-8670-5080-85b9-1b0501665cb2,3c0b202f-14ee-548b-bf80-c1349d40814d,6,Piya Piya Piya Mera Jiya Pukare,"Asha Bhosle, Kishore Kumar",4.5,https://www.youtube.com/watch?v=5kiZPy8Ghb8,https://music.youtube.com/watch?v=JpYfxqsKVYk,https://music.youtube.com/watch?v=OSlIUUwSGqw,https://music.youtube.com/watch?v=04jHZC61zW0,5kiZPy8Ghb8,JpYfxqsKVYk,OSlIUUwSGqw,04jHZC61zW0
6d570813-414f-50c6-8ae0-671573c999ea,741220a0-36c3-5ace-8131-d0fd8bec6e3c,7,Tasveer Banaata Hoon Tasveer Nahin Banti,Talat Mahmood,4.5,https://www.youtube.com/watch?v=eOnw5V1SPVs,https://music.youtube.com/watch?v=zXuuWgw0KxA,https://music.youtube.com/watch?v=LpUenkGr1KU,https://music.youtube.com/watch?v=NNW34zmeUU0,eOnw5V1SPVs,zXuuWgw0KxA,LpUenkGr1KU,NNW34zmeUU0
1c071dfc-5646-5729-b76f-77d982df2bd1,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,1,Teri Duniya Mein Jeene Se,Hemant Kumar,4.8,https://www.youtube.com/watch?v=8rJhomw8HPg,https://music.youtube.com/watch?v=KDRwYThiIis,https://music.youtube.com/watch?v=B1covEDNwTQ,https://music.youtube.com/watch?v=7RJXz3y2WQU,8rJhomw8HPg,KDRwYThiIis,B1covEDNwTQ,7RJXz3y2WQU
e8604c2a-aad7-5e13-a561-25ac9af2e155,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,3,Chup Hai Dharti Chup Hain Chand Sitare,Hemant Kumar,4.4,https://www.youtube.com/watch?v=msMWpxTS194,https://music.youtube.com/watch?v=F3MKlocJgyg,https://music.youtube.com/watch?v=kPXgbJBvnDU,https://music.youtube.com/watch?v=tQxEu-LYbZE,msMWpxTS194,F3MKlocJgyg,kPXgbJBvnDU,tQxEu-LYbZE
82cb8ae0-ff11-54d4-9499-d568b75ee629,0232c1b2-da2b-5bce-bc91-7d8ff55aff7a,4,Phaili Hui Hain Sapnon Ki Baahen,Lata Mangeshkar,4.33,https://www.youtube.com/watch?v=CrwaKcyjyNY,https://music.youtube.com/watch?v=W13FnVTPaDo,https://music.youtube.com/watch?v=Lxf-n4eMkHw,https://music.youtube.com/watch?v=LZYtg9MEZi8,CrwaKcyjyNY,W13FnVTPaDo,Lxf-n4eMkHw,LZYtg9MEZi8
fe7027ab-3efb-593f-b39e-6b57e8034150,65e2d835-be50-5c93-88d3-4be3788553bb,6,Nain So Nain Naahi Milao,"Hemant Kumar, Lata Mangeshkar",4.67,https://www.youtube.com/watch?v=L6kNKzN3zPo,https://music.youtube.com/watch?v=LAN1tq6T1O4,https://music.youtube.com/watch?v=NJxYX5Tq3LI,https://music.youtube.com/watch?v=1BlH-okPYsw,L6kNKzN3zPo,LAN1tq6T1O4,NJxYX5Tq3LI,1BlH-okPYsw
c78f6ff6-a39e-5e86-8ac7-a3713eb9980b,65e2d835-be50-5c93-88d3-4be3788553bb,9,Mere Ae Dil Bata Pyar Tune Kiya,Lata Mangeshkar,4.33,https://www.youtube.com/watch?v=rJ-uQkCgJeA,https://music.youtube.com/watch?v=LoPiwqR7HT4,https://music.youtube.com/watch?v=rFREpNWSlaw,https://music.youtube.com/watch?v=KIqzFJd_CCs,rJ-uQkCgJeA,LoPiwqR7HT4,rFREpNWSlaw,KIqzFJd_CCs
89a58686-0cc9-51c2-a1b4-909391e8ec38,5a26376e-ac29-513a-a7f7-1bff3ebd7731,4,Subah Ka Intezaar Kaun Kare,Lata Mangeshkar,4.33,https://www.youtube.com/watch?v=_CXfT5HOYMY,https://music.youtube.com/watch?v=HLDEoxcRcCw,https://music.youtube.com/watch?v=H37PoYeSi4c,https://music.youtube.com/watch?v=dhi4Kn_YEnE,_CXfT5HOYMY,HLDEoxcRcCw,H37PoYeSi4c,dhi4Kn_YEnE
