song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3,youtubeurlid,musicurlid1,musicurlid2,musicurlid3
31cd0108-227f-51d2-9df0-5a9f62cdc0ad,1d00a43a-0e96-55cc-ae10-31da9424e21b,3,Dil Kehta Hai Chal Unse Mil,"Kumar Sanu, Alka Yagnik",4.33,https://www.youtube.com/watch?v=PqiddY3o3aY,https://music.youtube.com/watch?v=PqiddY3o3aY,https://music.youtube.com/watch?v=5P3PGmRxPG0,https://music.youtube.com/watch?v=U_AWtsM2e7o,PqiddY3o3aY,PqiddY3o3aY,5P3PGmRxPG0,U_AWtsM2e7o
3b757341-c139-5f9a-8084-ed7d69bf7ed3,657cf1c0-2a18-5d32-bf98-176cd7192af2,2,Humko Sirf Tumse Pyar Hai,"Kumar Sanu, Alka Yagnik",4.33,https://www.youtube.com/watch?v=Uk6CB2o2eY0,https://music.youtube.com/watch?v=a8OflTlgdmw,https://music.youtube.com/watch?v=mUmRgBzzpyg,https://music.youtube.com/watch?v=UmnAlNWcQGA,Uk6CB2o2eY0,a8OflTlgdmw,mUmRgBzzpyg,UmnAlNWcQGA
ca2cd60c-38f8-552f-a311-d798209a617d,2233ce1c-39d1-57fb-8682-d0f8d407a965,1,Kehna Hi Kya,K.S. Chitra,4.67,https://www.youtube.com/watch?v=_YB1taxJPgk,https://music.youtube.com/watch?v=_YB1taxJPgk,https://music.youtube.com/watch?v=eb7jLoU9x64,https://music.youtube.com/watch?v=tpi3jXE1ZNs,_YB1taxJPgk,_YB1taxJPgk,eb7jLoU9x64,tpi3jXE1ZNs
b80dcd5c-0cfc-5a43-8c88-a2cb295ae907,2233ce1c-39d1-57fb-8682-d0f8d407a965,3,Tu Hi Re,"Hariharan, Kavita Krishnamurthy",4.8,https://www.youtube.com/watch?v=1VdjCp27KEM,https://music.youtube.com/watch?v=V9mN0qBgEzQ,https://music.youtube.com/watch?v=P4NwOb39sTQ,https://music.youtube.com/watch?v=eL66rtV81z8,1VdjCp27KEM,V9mN0qBgEzQ,P4NwOb39sTQ,eL66rtV81z8
1a1a6efd-3e51-5ccf-a5ce-cd846dc86aa1,ebf654fd-6b47-5185-8cbc-3c6fba24b35a,3,Tu Mile Dil Khile (Male),Kumar Sanu,4.33,https://www.youtube.com/watch?v=sLczKXun75Y,https://music.youtube.com/watch?v=2OtYy8TT_Ps,https://music.youtube.com/watch?v=uwYlPfs8e_Q,https://music.youtube.com/watch?v=e7h3Rlcl9a8,sLczKXun75Y,2OtYy8TT_Ps,uwYlPfs8e_Q,e7h3Rlcl9a8
2c8d4037-e5cd-50b3-9ac1-c46ec77b2d01,ebf654fd-6b47-5185-8cbc-3c6fba24b35a,7,Tu Mile Dil Khile (Female),Alka Yagnik,4.67,https://www.youtube.com/watch?v=4imIdlnNO5Y,https://music.youtube.com/watch?v=4imIdlnNO5Y,https://music.youtube.com/watch?v=UR5F9HkpYLU,https://music.youtube.com/watch?v=eCsd3n6uBX4,4imIdlnNO5Y,4imIdlnNO5Y,UR5F9HkpYLU,eCsd3n6uBX4
01ce7203-92d0-5a52-90f6-0e7a8baa2136,bef9f989-67f2-5d18-918a-0481073f75f7,1,Tujhe Dekha To Ye Jaana Sanam,"Kumar Sanu, Lata Mangeshkar",4.67,http://www.youtube.com/watch?v=r7NVIwO8_pI,https://music.youtube.com/watch?v=Mf_0pDqZi50,https://music.youtube.com/watch?v=Gc8dqXVjfgg,,r7NVIwO8_pI,Mf_0pDqZi50,Gc8dqXVjfgg,
314b4993-d28a-56ad-918b-38da36a255fb,bef9f989-67f2-5d18-918a-0481073f75f7,2,Ruk Ja O Dil Deewane,Udit Narayan,4.5,http://www.youtube.com/watch?v=YJtkxLJeWWA,https://music.youtube.com/watch?v=jBpRItrod-Q,https://music.youtube.com/watch?v=9MwnQ91TSqY,https://music.youtube.com/watch?v=PXKzvpv2-Uo,YJtkxLJeWWA,jBpRItrod-Q,9MwnQ91TSqY,PXKzvpv2-Uo
23074b8c-512e-5de0-9f70-07426ccf3a1f,bef9f989-67f2-5d18-918a-0481073f75f7,5,Zara Sa Jhoom Loon Main,"Abhijeet, Asha Bhosle",4.33,http://www.youtube.com/watch?v=UJEfS2UA9hw,https://music.youtube.com/watch?v=11TJrA33uno,https://music.youtube.com/watch?v=8Gw7KYsYJPQ,https://music.youtube.com/watch?v=kjUTs76Gnks,UJEfS2UA9hw,11TJrA33uno,8Gw7KYsYJPQ,kjUTs76Gnks
fc799ef6-d843-5cb9-99a9-39d69dc98e2b,bef9f989-67f2-5d18-918a-0481073f75f7,7,Ho Gaya Hai Tujhko To Pyar Sajna,"Lata Mangeshkar, Udit Narayan",4.33,http://www.youtube.com/watch?v=OkjXMqK1G0o,https://music.youtube.com/watch?v=hw_HpTI_Wkw,https://music.youtube.com/watch?v=gIMdl2q2x3E,https://music.youtube.com/watch?v=F6ENcws4tUI,OkjXMqK1G0o,hw_HpTI_Wkw,gIMdl2q2x3E,F6ENcws4tUI
