song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url
03fb135a-16b3-57b6-a5ff-19256c072738,81306ddf-fac5-5a77-9a27-f22ebbb77605,2,Pyar Kya Hota Hai,"Udit Narayan, Kavita Krishnamurthy",0,http://www.youtube.com/watch?v=_fva7WZtzH0
b8911e6f-96cc-57d6-90f9-cbafb87c0abc,81306ddf-fac5-5a77-9a27-f22ebbb77605,3,Hum Aashiq Hain Mastane,"Abhijeet, Udit Narayan",0,http://www.youtube.com/watch?v=C7O_wQRx-EY
4d877356-a6e7-5688-9f5d-cedf6d24257d,81306ddf-fac5-5a77-9a27-f22ebbb77605,6,Aaye Din Pyar Ke,"Kavita Krishnamurthy, Udit Narayan",0,https://www.youtube.com/watch?v=8G_HxfIv48k
66b9aca9-42db-5618-95b3-79614f412da1,81306ddf-fac5-5a77-9a27-f22ebbb77605,7,Jaane Bhi Do,"Kavita Krishnamurthy, Udit Narayan",0,http://www.youtube.com/watch?v=cZDblzeSlXk
935cac07-4ae1-5ab6-89f7-68a84537770e,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,2,Ek Duje Pe Marne Wale,"Bappi Lahiri, Alka Yagnik",0,https://www.youtube.com/watch?v=YO4Li8aKYBM
e83a816e-8d90-5b8f-8eec-16ce57b23ede,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,3,Tere Siva Kaun Hai Mera,Sadhna Sargam,0,https://www.youtube.com/watch?v=klfxRwqaPso
8b04118e-1233-5cea-a2ee-0fd1939114d2,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,4,Gunda Rap,"Bali Brahmbhatt, Arpita Raaj",0,https://www.youtube.com/watch?v=zaKWlGs9NAo
fcf796ac-f91b-57a1-8c60-2c6734bd5a0a,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,5,Duniya Se Woh Jab Darte Hain,Kavita Krishnamurthy,0,https://www.youtube.com/watch?v=taktWGcjwGU
db4469a1-d502-51ec-92e9-4ce7e162fde6,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,6,Akhkha Hai Bambai,"Mohammed Aziz, Udit Narayan, Aparna Mayekar",0,https://www.youtube.com/watch?v=gGij9mH9LJw
8d93b3eb-4f2b-5ef3-8e80-3b0018beeb67,a50b93e2-e64f-5619-ad7b-665ad47cfd8b,7,Mehakti Jhoomti,Babla Mehta,0,https://www.youtube.com/watch?v=7SYLbXoft3I
edf73f51-c99d-5253-947b-1db4e206521e,2d9fc5ec-8ef6-5808-8ba9-9c94b2b55894,1,Chudiyan O Chudiyan (Chudiyan Banti Hain Dukano Mein),"Sonu Nigam, Bela - I",0,https://www.youtube.com/watch?v=ofrO-r-1ygU
