song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3
ab0a0755-4bb2-5fbc-8f39-67eff7ed328e,fe28f61b-afde-5077-b70e-3b340bef7ab1,1,Aaj Sharabi Aankhon Se,Hemant Kumar,0.0,http://www.youtube.com/watch?v=2XL5cZs-NuU,https://music.youtube.com/watch?v=L6H4IJeBBxg,https://music.youtube.com/watch?v=pHWW31nWj6Y,https://music.youtube.com/watch?v=2XL5cZs-NuU
4d547302-e372-5007-8a1c-b1662303b26e,c5216182-75bd-5da7-ad49-b3e1ab580654,1,Aanchal Se Kyon Baandh Liya,Hemant Kumar,0.0,https://www.youtube.com/watch?v=UFZGK4EKovY,https://music.youtube.com/watch?v=UFZGK4EKovY,https://music.youtube.com/watch?v=BhGjqU-w_WQ,https://music.youtube.com/watch?v=PfaupmCobhI
d1c794b2-4a69-53c0-bf20-e3088d573389,7ab6825f-4fc2-54d1-b6e0-d719a1eff105,1,Ab Yaad Humein Kyun Aate Ho,Hemant Kumar,0.0,http://www.youtube.com/watch?v=EyFo-eLEN5U,https://music.youtube.com/watch?v=8sXy_lHl0EU,https://music.youtube.com/watch?v=IHrjoQx3aCw,https://music.youtube.com/watch?v=L6EaCoq-4Bk
0d3ef885-e04f-5f79-bd80-e488b3163fc8,96dfe2e1-4690-5278-95a7-41e9919576af,1,Yeh Chand Hamein Hans Kar Kuch Yaad Dilata Hai,Umakant,0.0,https://www.youtube.com/watch?v=nRdVLI5EbVM,https://music.youtube.com/watch?v=nRdVLI5EbVM,https://music.youtube.com/watch?v=vrCyZTG_4Hg,
665fe39a-f5db-559c-b191-07908bd1968a,96dfe2e1-4690-5278-95a7-41e9919576af,2,Aayi Baloonwali Aayi Re,"Geeta Roy, S.N. Tripathi",0.0,https://www.youtube.com/watch?v=jKC26x-bKos,https://music.youtube.com/watch?v=B111WPXoAbk,,
36595135-1e4c-5592-bf82-e83b3097e720,96dfe2e1-4690-5278-95a7-41e9919576af,4,O Mere Mann Ke Meet Aa Gaayen Suhane Geet,"Geeta Roy, S.N. Tripathi",0.0,https://www.youtube.com/watch?v=mcMe4TQx6NU,https://music.youtube.com/watch?v=fR1V7lQtfgw,https://music.youtube.com/watch?v=VODl12AniRw,https://music.youtube.com/watch?v=91MmwwqkfgI
7cea742e-d099-53e9-aef1-945f85fbe179,c74546cf-266b-51ea-aa09-53354dbe1d37,1,Nahin Hai Koi Bhi Sunne Wala,Munawar Sultana,0.0,https://www.youtube.com/watch?v=dIAS9fidch0,https://music.youtube.com/watch?v=_CjquF5_uI8,https://music.youtube.com/watch?v=oUS39nBAXgU,
72f0b85c-86b6-5f46-804b-455d43a559d6,c74546cf-266b-51ea-aa09-53354dbe1d37,4,Bekason Ki Bebasi Ko Dekhta Koi Nahin,Munawar Sultana,0.0,http://www.youtube.com/watch?v=BWtARzutRs4,https://music.youtube.com/watch?v=BWtARzutRs4,https://music.youtube.com/watch?v=zLl3eOqKbdM,
2ea4af5d-e444-583c-9c12-d37e9fce801b,10ad3fce-ac3f-57a1-ad85-a9789a9c7fbb,2,Aayi Suhani Ritu Aayi,Neelima Banerjee,0.0,https://www.youtube.com/watch?v=urIzky-_M5I,https://music.youtube.com/watch?v=HJklxSj0D_8,,
9d053dad-14e3-5e77-bac9-379d27ddb822,10ad3fce-ac3f-57a1-ad85-a9789a9c7fbb,4,Aao Mann Bahlayen Saajan,Neelima Banerjee,0.0,https://www.youtube.com/watch?v=rFr3qA9TOts,https://music.youtube.com/watch?v=0EHUBJ_OTVA,,
cb590ed0-ac9f-5966-9ce8-23fd9f044721,30e731b0-7500-5fd6-85fd-77ca542513f3,3,Ud Jaoon Re Main To,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=h5ZzY3t9GBk,https://music.youtube.com/watch?v=h5ZzY3t9GBk,https://music.youtube.com/watch?v=4onV-Sbzz4s,https://music.youtube.com/watch?v=KTPmI-TWTLo
22646e35-f87b-57b7-847e-cb327526503d,30e731b0-7500-5fd6-85fd-77ca542513f3,4,Mujhko Nainon Ke Bandhan Se Kas Gaya Re Koi Pardesi,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=3TYVbhqzl1s,https://music.youtube.com/watch?v=oDTOt_z5XFc,https://music.youtube.com/watch?v=3TYVbhqzl1s,https://music.youtube.com/watch?v=SvTyU3SqKQw
164535f2-ecba-58f2-8f4f-a66dad9bbf8f,30e731b0-7500-5fd6-85fd-77ca542513f3,5,Piya Mere Saath Rahenge Aaj Ki Raat,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=mSmBTUXuKO8,https://music.youtube.com/watch?v=W76bdm2bZqc,https://music.youtube.com/watch?v=-1X-h95wQfQ,https://music.youtube.com/watch?v=p8uMg1hN2to
260a54ac-10c2-518d-a797-404a0570be54,30e731b0-7500-5fd6-85fd-77ca542513f3,6,Runak Jhunak Chapal Charan Naach Mere Man,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=_uoJzZg49S4,https://music.youtube.com/watch?v=TCcHSHl1M28,https://music.youtube.com/watch?v=xH4gHp0qRVI,https://music.youtube.com/watch?v=sxVgzxZK-B4
35cce3c2-dc65-55fc-a8ce-f20dada9b6ab,30e731b0-7500-5fd6-85fd-77ca542513f3,8,Is Duniya Ki Pagdandi Par,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=6zDdGtHWtpc,https://music.youtube.com/watch?v=6zDdGtHWtpc,https://music.youtube.com/watch?v=jguA9Hb-isE,https://music.youtube.com/watch?v=mFgyTdUK-_U
709d5834-591b-57c0-9040-32c07a0492fb,69ff52e9-dca6-5904-b698-318232d0ead5,1,Aye Shaam Ki Hawaon,Hemant Kumar,0.0,http://www.youtube.com/watch?v=uItPJnR1c3o,https://music.youtube.com/watch?v=7cM2HLQAjnQ,https://music.youtube.com/watch?v=uItPJnR1c3o,https://music.youtube.com/watch?v=8VcX0U9AGtk
934eb23c-08e3-52dd-9c04-5404703894ba,4b538277-8f79-5031-8ffd-578d2722c119,2,Gokul Ki Ek Naar Chhabili,Mukesh,0.0,http://www.youtube.com/watch?v=yJs9u0vbRw0,https://music.youtube.com/watch?v=Ngo80K6B0qM,https://music.youtube.com/watch?v=sCQTfJb80dY,https://music.youtube.com/watch?v=yJs9u0vbRw0
bae7c1c9-a119-57f9-a547-f0407aa1fed1,31bd1487-491e-5239-ae64-4b7bab4dea22,1,Mata Tere Charnon Mein Guzar Jaye Umariya (Hum Chhod Ke Jate Hain),"Lata Mangeshkar, Ishwar Lal",0.0,http://www.youtube.com/watch?v=Y07vWXV73qI,https://music.youtube.com/watch?v=Y07vWXV73qI,,
4b6210e1-278e-5a08-b06c-010e9815bc8c,31bd1487-491e-5239-ae64-4b7bab4dea22,2,Aa Intezar Hai Tera,Noor Jehan,0.0,http://www.youtube.com/watch?v=3awFe2Q0gNU,https://music.youtube.com/watch?v=Urf8y8ndD7c,https://music.youtube.com/watch?v=DcC6JGj3ktQ,https://music.youtube.com/watch?v=3awFe2Q0gNU
224b91b4-13e3-56cf-89af-b7348407a4ff,31bd1487-491e-5239-ae64-4b7bab4dea22,3,Diya Jala Kar Aap Bujhaya,Noor Jehan,0.0,https://www.youtube.com/watch?v=TyKD9X-R81k,https://music.youtube.com/watch?v=TyKD9X-R81k,https://music.youtube.com/watch?v=w5RQwcZWNc8,https://music.youtube.com/watch?v=IL5EbdnQm0s
7425d977-48d4-56d1-96f5-8fcbc9b11044,31bd1487-491e-5239-ae64-4b7bab4dea22,7,Tum Humko Bhula Baithe Ho,Noor Jehan,0.0,http://www.youtube.com/watch?v=gD808NvEP7I,https://music.youtube.com/watch?v=4lqHMcKDit0,https://music.youtube.com/watch?v=pJyQQdVp874,https://music.youtube.com/watch?v=2-sCYOdm8oM
61963288-64e0-5f15-9ff1-57047f00ef9f,31bd1487-491e-5239-ae64-4b7bab4dea22,9,Kisi Tarah Se Mohabbat Mein Chain Pa Na Sake,Noor Jehan,0.0,http://www.youtube.com/watch?v=VzqfODXCbr8,https://music.youtube.com/watch?v=9cdAju_MO9w,https://music.youtube.com/watch?v=VzqfODXCbr8,https://music.youtube.com/watch?v=v3OR38WPI3I
33a8d81e-34c4-5583-9662-da1ce2d4aea3,31bd1487-491e-5239-ae64-4b7bab4dea22,10,Janani Janmbhoomi,"Meenakshi, Lata Mangeshkar",0.0,http://www.youtube.com/watch?v=AK0lgxqVQyM,https://music.youtube.com/watch?v=oc6b_JZ--LA,https://music.youtube.com/watch?v=kg8_-Q5XamA,https://music.youtube.com/watch?v=aCU3kgaXgHg
75b04eeb-543f-570e-b1a4-5a5b854bc585,3dd038e1-a74a-5f36-9077-7f19e35bb22f,2,Chaman Mein Kaun Aaya Kaun Gaya,Kanan Devi,0.0,https://www.youtube.com/watch?v=ounTGFnX5-g,https://music.youtube.com/watch?v=ounTGFnX5-g,https://music.youtube.com/watch?v=REaH3BGryII,https://music.youtube.com/watch?v=bhS0v3IqZ8Y
0cbc5f9c-7257-53a8-858c-7d9591600a4a,3dd038e1-a74a-5f36-9077-7f19e35bb22f,3,Laga Usse Lau Tu Madadagar Hai,Hemant Kumar,0.0,https://www.youtube.com/watch?v=isQ__c7WqjU,https://music.youtube.com/watch?v=g-V-2nUh0ko,https://music.youtube.com/watch?v=dAWv7-wbh78,https://music.youtube.com/watch?v=4h6cWG-E6s4
9e3da72a-da72-59ee-ab94-5e548a259176,3dd038e1-a74a-5f36-9077-7f19e35bb22f,4,Yeh Dil Hai Tumhe Pukaare,Kanan Devi,0.0,https://www.youtube.com/watch?v=o3NmG0i04bo,https://music.youtube.com/watch?v=o3NmG0i04bo,https://music.youtube.com/watch?v=pWck7PhbK84,https://music.youtube.com/watch?v=XwgRKUSoxAQ
8d0b45cf-12d7-551a-aa6b-038f62cf91b0,3dd038e1-a74a-5f36-9077-7f19e35bb22f,5,Maalan Bata De Kiske Liye Haar Banaya,Kanan Devi,0.0,https://www.youtube.com/watch?v=q7UXrjQyWqk,https://music.youtube.com/watch?v=V878mR83t0A,,
31f43458-185d-5ec7-8026-4cdcf3302524,3dd038e1-a74a-5f36-9077-7f19e35bb22f,6,Tu Sun Le Kahani,Kanan Devi,0.0,https://www.youtube.com/watch?v=MH4vK4JzauU,https://music.youtube.com/watch?v=MH4vK4JzauU,https://music.youtube.com/watch?v=oTKSFLr2604,
f25dfe12-9fcd-528c-8265-7d35dbf93006,3dd038e1-a74a-5f36-9077-7f19e35bb22f,7,Koi Hamen Bata De,Kanan Devi,3.0,https://www.youtube.com/watch?v=hy_nDjf1Yxg,https://music.youtube.com/watch?v=IeUJzNtI5PY,https://music.youtube.com/watch?v=hy_nDjf1Yxg,https://music.youtube.com/watch?v=EnPZnEt38b4
3333a71e-6ca2-5074-bd16-5714064c536e,dad33fe4-cee8-5153-98d1-6b4ef2d4c210,7,Aankhein Toh Huyi Band Magar,Ashok Kumar,0.0,http://www.youtube.com/watch?v=Yh2sUIiXcTI,https://music.youtube.com/watch?v=XPKxjaKMxOg,https://music.youtube.com/watch?v=RmqloJQgTWk,
b3727c12-737d-5673-b1e2-1d7f2c4f04e7,2c50b411-587d-541e-affc-ac6eec4c4078,3,Aaja Bedardi Aaja,Zeenat Begum,0.0,http://www.youtube.com/watch?v=XZzGUBYlQns,https://music.youtube.com/watch?v=p2cGHUqVX4I,https://music.youtube.com/watch?v=9a8-lsnfK5o,https://music.youtube.com/watch?v=XQUGcn21dkc
340d0a79-d213-59f6-ade4-db8a50b0b254,2c50b411-587d-541e-affc-ac6eec4c4078,8,Chupke Se Dil Mein Aa Base,Noor Jehan,0.0,https://www.youtube.com/watch?v=3CLjcxpOLMI,https://music.youtube.com/watch?v=3CLjcxpOLMI,https://music.youtube.com/watch?v=KokcaL1wT5Y,
10b2c02e-8021-50db-8110-2d1883d8f86f,c07a9f96-d163-5d89-8420-82a382b8bd4f,1,Bhala Tha Kitna Apna Bachpan,Hemant Kumar,0.0,http://www.youtube.com/watch?v=nChCETlTlPg,https://music.youtube.com/watch?v=mg5NKyoGHWc,https://music.youtube.com/watch?v=nChCETlTlPg,https://music.youtube.com/watch?v=2DsvEX2bn1w
12fe2712-5595-50ee-b6f2-ad25f3fbd341,639891d7-29c9-5580-b127-6166879e6e4e,2,Jaag Rahe Ya Sote Ho Bhagwan Kahaane Wale,Naseem Akhtar,0.0,https://www.youtube.com/watch?v=tVDYqLwpK4A,https://music.youtube.com/watch?v=858PU64G3x0,https://music.youtube.com/watch?v=tVDYqLwpK4A,https://music.youtube.com/watch?v=9hqAebUluoM
136b5e25-df1b-5b87-8b20-7434aa21b413,90682dd9-3856-53ff-861a-60832dda1ed8,1,Mere Dil Ki Duniya Se Jao To Janoon,Zeenat Begum,0.0,https://www.youtube.com/watch?v=G7YWUYUUb3w,https://music.youtube.com/watch?v=JoQ9TnKR54w,https://music.youtube.com/watch?v=SA5B9jSyqGA,
ba1b809e-1531-5b21-9fdb-ac241cde4def,90682dd9-3856-53ff-861a-60832dda1ed8,2,Doriye Ki Odhni Main Mal Mal Dhoun Ri,"Zeenat Begum, Munawar Sultana",0.0,https://www.youtube.com/watch?v=pXM-NW6xiIw,https://music.youtube.com/watch?v=Le2vf9-Rs-8,https://music.youtube.com/watch?v=_ya5htnGeAE,
39f1c24f-4dec-5444-a694-789236c8568d,bbfcec6b-a1d9-5381-a35d-84c59fd6f061,10,Mann Mein Basa Le Piya Ko,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=GI2v8GtglVI,https://music.youtube.com/watch?v=uyau18pS-5M,https://music.youtube.com/watch?v=N8EEYyLq1Rg,https://music.youtube.com/watch?v=jhkJWMoaZV8
76c042d9-73e0-57cf-8f7c-1f25176cffec,bbfcec6b-a1d9-5381-a35d-84c59fd6f061,11,Jogan Bana Ke Piya Chhod Gaya,Amirbai Karnataki,0.0,http://www.youtube.com/watch?v=6MPV4RzBGQM,https://music.youtube.com/watch?v=Ibe0ZXrS4SU,https://music.youtube.com/watch?v=2-7kEZ5fOrA,https://music.youtube.com/watch?v=qLoNcU_ADVc
3458146d-2989-52dd-bd15-80238854fbb2,7a473610-667b-51dd-a73c-7dd72a285802,5,Aaj Mera Mann Dole Re,"Amirbai Karnataki, Charlie - I",0.0,http://www.youtube.com/watch?v=nzWqL_4i3SY,https://music.youtube.com/watch?v=F_8maPdN5TM,https://music.youtube.com/watch?v=3kqdi1ZfweI,
749a6b6e-5aad-569e-966c-59a1af5b7260,7a473610-667b-51dd-a73c-7dd72a285802,6,Zindagi Fareb Hai Fareb Se Nibhaye Ja,Charlie - I,0.0,https://www.youtube.com/watch?v=ZVROZX5KWFo,https://music.youtube.com/watch?v=rpB7mOkkro8,https://music.youtube.com/watch?v=ZVROZX5KWFo,https://music.youtube.com/watch?v=fpORSMl-09A
0967ef77-bbef-5450-9edd-8bfaaad7d7ed,601f722f-253f-559e-93ae-93a64f0e5bad,4,Piya Ki Bansuriya Huyi Kaleje Paar,"Amirbai Karnataki, Zohrabai",0.0,https://www.youtube.com/watch?v=fkh3nysXdXM,https://music.youtube.com/watch?v=FFfxJYdkuQc,https://music.youtube.com/watch?v=fkh3nysXdXM,https://music.youtube.com/watch?v=p7e9BvgZVxs
868a7005-f22e-5e70-bbb7-9ebfb5b69429,601f722f-253f-559e-93ae-93a64f0e5bad,6,Bairan Ban Gayi Nindiya Ho,Amirbai Karnataki,0.0,https://www.youtube.com/watch?v=dKUGDX3ZXWI,https://music.youtube.com/watch?v=thakpA2Z6hw,https://music.youtube.com/watch?v=dKUGDX3ZXWI,https://music.youtube.com/watch?v=ew1zs8TyOQ0
85b39f78-fbd7-524f-809e-e78d021e5bce,601f722f-253f-559e-93ae-93a64f0e5bad,9,Vehshat Mein Apne Haathon Mushkil Ko Dhoondhte Hain,Parul Ghosh,0.0,https://www.youtube.com/watch?v=SMBZhZnOhGA,https://music.youtube.com/watch?v=qD0xZLMseZQ,https://music.youtube.com/watch?v=UCrDXt8JXoo,
1f9f2c66-60ce-527d-b5a7-4fff8222fc63,42b39f65-391f-569a-92e5-d11d6141cf97,4,Mere Naath Tumhi Sab Kuch Ho,Shrimati Ghosh,0.0,https://www.youtube.com/watch?v=UGtcW-PBOWw,https://music.youtube.com/watch?v=BmVDIYSO8OE,,
b7d5779a-e20d-5fca-b3e3-076037e2a0b4,42b39f65-391f-569a-92e5-d11d6141cf97,6,Tota Bola More Kanha,"Putul Chatterjee, K.C. Dey",0.0,https://www.youtube.com/watch?v=Bv5pNzzPTCU,https://music.youtube.com/watch?v=7_F0VcWqRNk,https://music.youtube.com/watch?v=qub8CXgF9y8,
3bda823a-0bcd-5445-9c1d-833f9863a6f1,42b39f65-391f-569a-92e5-d11d6141cf97,9,Hari Ke Naam Bina Re,K.C. Dey,0.0,https://www.youtube.com/watch?v=sf_vWTh9znY,https://music.youtube.com/watch?v=b5ZNtzOviqs,https://music.youtube.com/watch?v=jqre6D-W8Mg,https://music.youtube.com/watch?v=qKdGEn3O5vY
a4224e12-b734-565c-9fc8-4e0bde1e9c93,42b39f65-391f-569a-92e5-d11d6141cf97,10,Hare Murare Madhukaitbhaare,K.C. Dey,4.0,https://www.youtube.com/watch?v=MBtxZAreS6A,https://music.youtube.com/watch?v=1XLI4sZN2eg,,
0f0f96e9-4220-59ca-9ef9-9ad0890c78b3,42b39f65-391f-569a-92e5-d11d6141cf97,11,Roye Hum Charnon Pe Bhagwan,K.C. Dey,0.0,https://www.youtube.com/watch?v=-L4TmRo6z6E,https://music.youtube.com/watch?v=CQQDYYPA8Uk,https://music.youtube.com/watch?v=CURyMN0sFSQ,
73c8d119-7d63-5f46-97c5-b33381f67c79,a9e2c402-b283-50de-9867-6ea9059521a1,1,Jawani Mastani Hai,Munawar Sultana,0.0,https://www.youtube.com/watch?v=amh4oOnSe44,https://music.youtube.com/watch?v=wD-xghBrzDY,https://music.youtube.com/watch?v=EOqvFi3X9Wo,https://music.youtube.com/watch?v=fMG9Lu7qCIQ
60948893-9d24-5996-8ea5-06191d5e7d97,a9e2c402-b283-50de-9867-6ea9059521a1,2,Phir Barsan Laage Haay Naina Matwale,Zeenat Begum,0.0,https://www.youtube.com/watch?v=NCTPXNNucYE,https://music.youtube.com/watch?v=iWV4-jXtdjk,https://music.youtube.com/watch?v=A1xiAIVxeFE,
5a09dee4-560c-5726-99f0-e9830f97d817,a9e2c402-b283-50de-9867-6ea9059521a1,3,Mila Ke Ankhiyan Ankhiyan Na Churana,Zeenat Begum,0.0,https://www.youtube.com/watch?v=KdPl7td1isI,https://music.youtube.com/watch?v=FUmHrAf94cg,,
5738a9a7-522b-569d-8d92-6db505bb0d8c,a9e2c402-b283-50de-9867-6ea9059521a1,4,Apne Kothe Main Khadi,"Munawar Sultana, Dhaniram",0.0,https://www.youtube.com/watch?v=HvA2sQdVjdQ,https://music.youtube.com/watch?v=seyejLfFarA,https://music.youtube.com/watch?v=hVAUZZxstJQ,https://music.youtube.com/watch?v=cfOBoDN-mUw
9a6954dc-f2f3-5cd4-a135-e8b1b7b60d73,a9e2c402-b283-50de-9867-6ea9059521a1,7,Dard-E-Muhabbat Aah Se Keh De,Zeenat Begum,0.0,http://www.youtube.com/watch?v=r5NTFQmh6Os,https://music.youtube.com/watch?v=udDr_ml_13A,https://music.youtube.com/watch?v=byOctRA5e5c,https://music.youtube.com/watch?v=LGykjaMaFYA
43a314c9-9938-58dd-9c8c-b825731d7e85,a9e2c402-b283-50de-9867-6ea9059521a1,8,Jab Tum Yahan Hum Wahan Kaise Bajegi Bansuri,Munawar Sultana,0.0,https://www.youtube.com/watch?v=ZRCtZhri9nI,https://music.youtube.com/watch?v=ZRCtZhri9nI,,
422cd1e3-f4f6-50e1-a2cd-5403dc8bd79e,a9e2c402-b283-50de-9867-6ea9059521a1,9,Aankh Mila Le Koi Re Apna Bana Le Koi Re,Zeenat Begum,0.0,https://www.youtube.com/watch?v=OefIZcs_sq0,https://music.youtube.com/watch?v=YALvuUpY_b0,https://music.youtube.com/watch?v=AOKuyhD77ns,
76f54c72-27e1-5e9a-ada6-79e459932ac2,ed3476da-5e7e-52c1-b151-01b0c6c3fadd,3,Manmohan Bansi Wale Re,"Baby Mumtaz, Master Brijlal",0.0,https://www.youtube.com/watch?v=1qxRuJ2Jkqo,https://music.youtube.com/watch?v=1qxRuJ2Jkqo,https://music.youtube.com/watch?v=u1okujwarto,
51a9adb6-a468-5957-bc33-0cf347cba9cc,ed3476da-5e7e-52c1-b151-01b0c6c3fadd,6,Bhool Na Jana Hey Girdhari (Ghat Ghat Ki Tum Jaante),Mohantara Talpade,0.0,https://www.youtube.com/watch?v=7ckORJUGJoQ,https://music.youtube.com/watch?v=QZG0MVPM1Sw,https://music.youtube.com/watch?v=UwU-oaN-3n8,https://music.youtube.com/watch?v=elRNGhSsOE4
f6da9a40-16df-5c7b-a65c-f18171c29cfe,b52b46e6-d9e9-5500-a59f-292ce488ff7a,1,Jam Jam Rahe Meharban Mere Allah Mian,Rattan Bai,0.0,https://www.youtube.com/watch?v=baMRZPFffK0,,,
9aebb356-d278-597a-87e8-2a3035d617d5,b52b46e6-d9e9-5500-a59f-292ce488ff7a,5,Chali Pawan Purvai,"Naseem, Rattan Bai",0.0,https://www.youtube.com/watch?v=9AH0Q9b1KfI,https://music.youtube.com/watch?v=CxTf3NRxB14,https://music.youtube.com/watch?v=8MGrTEUgBwY,https://music.youtube.com/watch?v=Ajtdl31JzPU
abbeea59-b36c-5da9-ac49-f2fb4f91fcc8,aa33eb8b-c054-5822-8ea7-967504904b7f,1,Dil Ko Lekar Tum Kinare Ho,Hemant Kumar,0.0,http://www.youtube.com/watch?v=EQaE2wCxi8g,https://music.youtube.com/watch?v=J7cJZkNS3fM,https://music.youtube.com/watch?v=vjvRf7H6YA4,https://music.youtube.com/watch?v=EQaE2wCxi8g
61afd2b6-9970-56b1-a064-9a7c7a8343d2,84d4d4d9-192e-5ec1-a159-67b66d3e4c31,1,Dil Leke Bhula Dena,Hemant Kumar,0.0,http://www.youtube.com/watch?v=whoBqZG4JKo,https://music.youtube.com/watch?v=whoBqZG4JKo,https://music.youtube.com/watch?v=dJcf2zK19qE,https://music.youtube.com/watch?v=didoRdav8FU
78ca4aea-cc83-5027-86ee-0fb78599234d,d3a731a2-4839-540d-a517-8e31b87d8f70,1,Aayi Rangraliyon Ka Zamana Leke Mast Jawani Aayi,Snehaprabha Pradhan,0.0,https://www.youtube.com/watch?v=JAy8eedboqY,https://music.youtube.com/watch?v=JAy8eedboqY,https://music.youtube.com/watch?v=sE7uI88qEQU,https://music.youtube.com/watch?v=fULU7HaW4cg
d61d345d-bd88-53c4-925c-8cae228dcacd,d3a731a2-4839-540d-a517-8e31b87d8f70,3,Kaahe Ko Nain Milaye Nain Milaane Wale,"Snehaprabha Pradhan, Paresh Banerjee",0.0,https://www.youtube.com/watch?v=E3A0IYQ04M0,https://music.youtube.com/watch?v=7f4TuIroVYQ,https://music.youtube.com/watch?v=O0OgQq2Asyw,https://music.youtube.com/watch?v=E3A0IYQ04M0
c2b2fb6f-ecb6-5271-a6d7-cbd353da3a29,d3a731a2-4839-540d-a517-8e31b87d8f70,7,Hasne Walon Ko Rulaoge Yeh Maloom Na Tha,Snehaprabha Pradhan,0.0,https://www.youtube.com/watch?v=yyccADBdHRg,https://music.youtube.com/watch?v=YeYKyqx4w-o,https://music.youtube.com/watch?v=yyccADBdHRg,
0e9f47b0-4612-5b6d-9f0d-d019e8faa924,fe0b999d-a56d-5eff-a05b-e63ec42a6faf,1,Meri Banri Ki God Hari,,0.0,https://www.youtube.com/watch?v=qkpP_sl5So8,https://music.youtube.com/watch?v=XHk4XOiYpIo,https://music.youtube.com/watch?v=V7FH0q0-_nk,https://music.youtube.com/watch?v=qkpP_sl5So8
b886aa2a-6939-5bc1-be6b-c13bb8eb89d8,fe0b999d-a56d-5eff-a05b-e63ec42a6faf,2,Ho Ho Khwaja Ajmeri,,0.0,http://www.youtube.com/watch?v=3H74OAbWQXQ,,,
