song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url
7685cc7c-10b3-5739-b5a4-33bf40aea2eb,84eda5db-109a-5ed5-b197-7eb29874cb90,6,Dil Hai Tanha,Raghav Sachar,0,http://www.youtube.com/watch?v=twf7SlKiTQU
707ab2d4-54ad-58fb-83ee-7d3d4167041f,23198fb8-9259-5d06-9fbb-ac716fd74f86,1,Aao Nee Kudiyon,Sunidhi Chauhan,0,https://www.youtube.com/watch?v=v4OeYvgRaGM
32611a60-9846-5c38-be53-ff18fa091306,23198fb8-9259-5d06-9fbb-ac716fd74f86,2,Kyun Aaj Kal,Antara Chowdhury,0,https://www.youtube.com/watch?v=1Dk76Pe9mKw
3eec5729-b2c6-5cab-bcf5-6a3b62163c7e,865ddea4-a2bb-5bcb-8063-c11e3d116e41,1,Mohabbatein Lutaaunga,Abhijeet Sawant,0,https://www.youtube.com/watch?v=txwPmjrz0co
902a2ba3-8bee-5026-bf84-82e8cd5d2633,865ddea4-a2bb-5bcb-8063-c11e3d116e41,2,Lafzon Mein,Abhijeet Sawant,0,https://www.youtube.com/watch?v=SSFZHqu5fCo
8a23698b-2429-5f5f-b1a8-11af92d91649,865ddea4-a2bb-5bcb-8063-c11e3d116e41,4,Kya Tujhe Pata Hai,Abhijeet Sawant,0,https://www.youtube.com/watch?v=A7t6vpsic5c
6a6e9d04-5c20-5e50-866d-c09b050d825f,60753f37-fb17-532e-8c46-b5226efb71d8,1,Aashiq Banaya Aapne,"Himesh Reshammiya, Shreya Ghoshal",3.0,http://www.youtube.com/watch?v=0bAVd9jJE2Q&feature=plcp
993b48da-4951-56d7-a083-ca777fe780b9,60753f37-fb17-532e-8c46-b5226efb71d8,2,Mar Jaawan Mit Jaawan,"Sunidhi Chauhan, Abhijeet Sawant",0,http://www.youtube.com/watch?v=XpSicjw4v_U&feature=plcp
5bc824b4-ce00-5228-a2f7-b27aec85e03b,60753f37-fb17-532e-8c46-b5226efb71d8,3,Aap Ki Kashish,"Himesh Reshammiya, Krishna Beura, Ahir",2.5,http://www.youtube.com/watch?v=t2p022aySKw&feature=plcp
56ba1002-6f9f-56ea-99ff-619ac8fe5ba9,60753f37-fb17-532e-8c46-b5226efb71d8,4,Dilnashin Dilnashin,KK,0,http://www.youtube.com/watch?v=c8TqlaLU7gg&feature=plcp
d0117e89-4735-507f-bade-567c98293d83,60753f37-fb17-532e-8c46-b5226efb71d8,5,Aashiq Banaya Aapne - Remix,Himesh Reshammiya,0,http://www.youtube.com/watch?v=al1Rlto5o6E&feature=plcp
28c22a88-0f66-5cd4-a75a-c3c06420fde9,60753f37-fb17-532e-8c46-b5226efb71d8,6,Dillagi Mein Jo Beet Jaaye,"Jayesh Gandhi, Shaan, Sonu Nigam, Sunidhi Chauhan, Himesh Reshammiya, Vasundhara Das",0,http://www.youtube.com/watch?v=fc0VL7mGs5g&feature=plcp
4c008192-e4dd-5e94-95e3-ac7acd933397,60753f37-fb17-532e-8c46-b5226efb71d8,7,Aap Ki Kashish (Male),Himesh Reshammiya,0,https://www.youtube.com/watch?v=qfbGAWK-SGM
b8ac947a-ca4d-590c-bac4-05d3ae0c4ba3,60753f37-fb17-532e-8c46-b5226efb71d8,8,Dilnashin Dilnashin (Remix),KK,0,https://www.youtube.com/watch?v=I5oIsPbefSE
62f16ada-0737-5061-96d5-c859f0536549,60753f37-fb17-532e-8c46-b5226efb71d8,9,Aap Ki Kashish - Remix,"Himesh Reshammiya, Ahir",0,https://www.youtube.com/watch?v=nwcfgd_q4ws
3f7bdf66-7315-5f34-b0ea-9e6aabc65feb,60753f37-fb17-532e-8c46-b5226efb71d8,10,Aashiq Banaya Aapne (Dhol Remix),Himesh Reshammiya,0,https://www.youtube.com/watch?v=OCjBRNDv-wc
10214a8c-3dda-579a-982f-508f4d7b64fb,60753f37-fb17-532e-8c46-b5226efb71d8,11,Mar Jaawan Mit Jaawan (Dhol Mix),Abhijeet Sawant,0,https://www.youtube.com/watch?v=-Uc8g50vhRo
898781d6-9aec-58b5-9c63-bdea6aff93e1,85927895-4aa6-5dcd-b23a-ea29208e3547,1,Dekha Tujhko To,Kumar Sanu,0,http://www.youtube.com/watch?v=yh94dwBaOgw
2c24357a-6f17-5adb-a4d8-16a62bc8dd68,85927895-4aa6-5dcd-b23a-ea29208e3547,2,Dil Se Kabhi Na Jaana,Kumar Sanu,0,https://www.youtube.com/watch?v=UxBdy7XXiH0
0c0a60e5-767b-5867-b08c-40e521a1d64e,85927895-4aa6-5dcd-b23a-ea29208e3547,3,Tumse Nazrein Mili,Kumar Sanu,0,http://www.youtube.com/watch?v=h-kLOxOKsus
f20f0685-ca20-53c4-9d6a-a10b0a002922,85927895-4aa6-5dcd-b23a-ea29208e3547,4,Baahon Mein Aao,Kumar Sanu,0,https://www.youtube.com/watch?v=BU6xeangJOc
98a33151-5eff-5608-9d82-51ad484dbf56,85927895-4aa6-5dcd-b23a-ea29208e3547,5,Dheere Se Chupke Se,Kumar Sanu,0,https://www.youtube.com/watch?v=U0okKWn9b-Q
