song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url
5ab9d93d-388f-5c09-b12a-5f934f2041f2,6c726ca0-e6f2-5918-ba89-663f5fa3ddbe,1,Ki Garda Ude Ude Ude Yaar Mere,"Javed Ali, Papon",0.0,https://www.youtube.com/watch?v=Th-0y_WsWIw
12447e36-c056-5f3d-bb31-12cb869c2929,cbb0c527-60c4-52b2-88d9-0bca74990709,1,Mangwa Do Mujhko Laal Pari,"Yo Yo Honey Singh, Simar Kaur",0.0,https://www.youtube.com/watch?v=rcPuG_PkAf8
6410820c-99d5-50d2-b47b-4df63f2f4d14,cbb0c527-60c4-52b2-88d9-0bca74990709,2,Ae Dil-E-Nadaan Tu Bewafa Ho Ja,"Madhubanti Bagchi, Sumonto Mukherjee",3.0,https://www.youtube.com/watch?v=hzyGIxqgDHA
696143ed-f54a-5350-a612-1d3140e1c9db,cbb0c527-60c4-52b2-88d9-0bca74990709,3,Haay Qayamat,"Neeraj Shridhar, Shruti Dhasmana",0.0,https://www.youtube.com/watch?v=aRHnBnqul5Q
0dfced94-3add-58a1-8359-3fad4cae32f4,cbb0c527-60c4-52b2-88d9-0bca74990709,4,The Phoogdi Dance,"Kratex, Patya The Doc",0.0,https://www.youtube.com/watch?v=9oGf30uio90
8ae68534-1275-5a24-b422-09a79dfb22e8,cbb0c527-60c4-52b2-88d9-0bca74990709,5,Housefull 5 Mixtape Official Film Song Mix,"Ritu Pathak, Neeraj Shridhar, Alyssa Mendonsa, Tarun Sagar, Loy Mendonsa, Wajid Khan, Sunidhi Chauhan, Suzanne D'Mello",0.0,https://www.youtube.com/watch?v=MxQRVx-c_LA
a340d5cc-5d08-526c-b863-8691bc4aaeef,7bdc2775-6a36-5fce-bbee-b0ff6eeadb91,1,I Am Your Dad,Siddhaant Miishhraa,0.0,https://www.youtube.com/watch?v=Ht-5Nz42tiI
a6f13b3d-eaf2-5071-8534-dea7e9f428d7,7db8acc2-0a49-5809-9b7e-a75bf52049ac,1,Patang Ki Dor (Duet),"Armaan Malik, Palak Muchhal",0.0,https://www.youtube.com/watch?v=dGpOl8-k62Q
aae6a77f-cf01-500b-849f-1aca13a2ca7e,7db8acc2-0a49-5809-9b7e-a75bf52049ac,2,Uda Hawa Mein Rang Hai,Nakash Aziz,0.0,https://www.youtube.com/watch?v=t2mbo7WK8Dk
5663e005-06f3-538d-9eb6-c1bd59a92c90,7db8acc2-0a49-5809-9b7e-a75bf52049ac,3,Maaheru (Duet),"Javed Ali, Shalmali Kholgade",0.0,https://www.youtube.com/watch?v=2p0aZdLH3Z4
4732f3bb-1db7-51c1-af86-326685dded7c,7db8acc2-0a49-5809-9b7e-a75bf52049ac,4,Tere Kehne Pe Zarda Chhod Diya Jaa Jaanam Jaa,Sonu Nigam,0.0,https://www.youtube.com/watch?v=TYL5b88qx9o
86bf55b5-a7e7-54eb-9713-eb04f63bcd9f,7db8acc2-0a49-5809-9b7e-a75bf52049ac,5,Patang Ki Dor (Male),Armaan Malik,0.0,https://www.youtube.com/watch?v=L-mpL3ljO7s
adc64a5a-ddea-50fa-95e7-103df98b5bc1,7db8acc2-0a49-5809-9b7e-a75bf52049ac,7,Patang Ki Dor (Female),Palak Muchhal,3.0,https://www.youtube.com/watch?v=xk4NgPpwVmY
d4324a38-3109-53ff-ac7a-f40e66a7e832,8e43f784-bf13-5347-83f4-730caa0344e3,1,Majhi Baygo,"Nakash Aziz, Waking Grunt",0.0,https://www.youtube.com/watch?v=H9LJkChuJ44
bcfbeade-1513-5ccc-bc33-e2c5bd78953d,8e43f784-bf13-5347-83f4-730caa0344e3,2,Charlie Baby Charlie Baby Where The Hell Are You,Neeti Mohan,0.0,https://www.youtube.com/watch?v=YKnhgnaULZQ
c53a1447-49fe-5760-86a8-2a21dc1b58fb,138ef33c-05b1-5834-aeca-c5fcebd97c60,1,Tera Ishq Hai Banjaara Sa Raanjhana,Javed Ali,3.0,https://www.youtube.com/watch?v=zfGk62_GySo
7e7f9477-a2cf-5f01-9ae7-43c598ceb37d,914f6167-ee89-5336-8059-f4938d5c367b,1,Ishq Tera Farzi,Divya Kumar,3.0,https://www.youtube.com/watch?v=UVlD7YON3JY
0c8b768f-93bd-57e5-95c5-b3a7d72582f9,a4e50f8e-8ce0-5e96-a794-3fc2c2fef658,1,Tujhi Se Hai Ishq Mera,Jubin Nautiyal,3.0,https://www.youtube.com/watch?v=SO65SR0vD8s
60878447-8711-51cc-891b-445668b65df6,ead16b1c-79d5-5196-9731-6e6740c8ff9c,1,Jaan Legi Yeh Mehbooba,"Sukhwinder Singh, Asees Kaur",0.0,https://www.youtube.com/watch?v=vgCbdeMPPIU
b0b98d5c-2776-563e-8ca3-87603f001ae6,4f6de5cf-f52e-5af7-bc94-637956a81a31,1,O Rama Shri Rama,"Dhanunjay Seepana, Saketh Kommajosyula, Sumanas Kasula, Saatvik G. Rao, Kumara Vagdevi",0.0,https://www.youtube.com/watch?v=oxuAVi0Nq-s
57374486-806e-5b5e-9e2e-8a4b89af33a6,4f6de5cf-f52e-5af7-bc94-637956a81a31,2,Jaat Theme Song,Amrit Maan,0.0,https://www.youtube.com/watch?v=6VV_72QUgdc
c523b7c2-dbc9-5aa3-bffd-d062260e8251,4f6de5cf-f52e-5af7-bc94-637956a81a31,3,Touch Kiya,"Madhubanti Bagchi, Shahid Mallya",0.0,https://www.youtube.com/watch?v=ikBuA6p7xaw
971a06ab-98ad-5e80-9dd1-eb182b463408,f47996ba-282f-5662-8175-c210822bc8e1,1,Chamkeela,"Mohit Chauhan, Rev Shergill",0.0,https://www.youtube.com/watch?v=of0fC-sW8xA
b9608d6c-3ad7-57c1-80c0-4d34ac50b403,f47996ba-282f-5662-8175-c210822bc8e1,2,Ve Tu Make Up Na Laaya Kar,"Rev Shergill, Meenu Kale, Trisha Kale, Aashima Mahajan",3.0,https://www.youtube.com/watch?v=NnJBOkU5HcI
a33e7ba2-369a-50c1-a7cf-61c53b827505,f47996ba-282f-5662-8175-c210822bc8e1,3,Mainu Hoya Ishq-E-Desi,"Jasbir Jassi, Asees Kaur, I.P. Singh",0.0,https://www.youtube.com/watch?v=bsiyDixuapc
b899820f-76a3-5496-a6cc-601bf9a885ba,f47996ba-282f-5662-8175-c210822bc8e1,4,Main Bhool Jawanga Saare Rang,Bhanu S. Tanwar,0.0,https://www.youtube.com/watch?v=WNxGmIsg9CI
