album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
84eda5db-109a-5ed5-b197-7eb29874cb90,24 Carat,2005,"Hindi, Non Film",,,,0
23198fb8-9259-5d06-9fbb-ac716fd74f86,7 1/2 Phere,2005,"Hindi, Film",Shantanu Moitra,"Subrat Sinha, Honey Trehan",Venus,0
865ddea4-a2bb-5bcb-8063-c11e3d116e41,Aapka Abhijeet Sawant,2005,"Hindi, Non Film","Laxmikant - Pyarelal, Biddu, Prempal Hans, Hardeep Sidhu","Anand Bakshi, Sameer, Amit Khanna",Sony BMG,0
60753f37-fb17-532e-8c46-b5226efb71d8,Aashiq Banaya Aapne,2005,"Hindi, Film",Himesh Reshammiya,"Sameer, Mudassar Aziz",T-Series,3.0
85927895-4aa6-5dcd-b23a-ea29208e3547,Aise Na Dekho Mujhe,2005,"Hindi, Non Film",Shibu Pinto,Nusrat Badr,T-Series,0
977c43ce-f840-58c8-94ac-8de7cb17b42c,Anjaan,2005,"Hindi, Film","Viju Shah, Rahul Mehta, Aumkar Gholap","Amitabh Verma, Rahul Mehta, Aumkar Gholap",Das Music,0
4e016f5c-d383-5bba-a6b0-1dbd6bc22d2e,Asha,2005,"Hindi, Non Film","Sohail Rana, Ghulam Ali, Mehdi Hassan, Nisar Bazmi, Jagjit Singh","Faiyyaz Hashmi, Hasrat Mohani, Masroor Anwar, Ahmad Faraz, Ameer Meenai",Saregama,0
7452a3cd-a53c-565a-8a97-52b02ba38250,Bachke Rehna Re Baba,2005,"Hindi, Film",Anu Malik,"Dev Kohli, Anu Malik, Farhad - I, Sayeed Quadri",T-Series,0
76e92dc1-e171-5085-bc1c-064bc1e40b38,Barsaat,2005,"Hindi, Film",Nadeem - Shravan,Sameer,Shree Krishna Audio,0
a14ec7a2-fbc7-528b-a99d-c6b74b3d47dd,Bewafaa,2005,"Hindi, Film",Nadeem - Shravan,Sameer,Tips,0
56165e3a-0242-54c7-98e3-711abf14e251,Bhola In Bollywood,2005,"Hindi, Film",Altamash Khan,"Wajeda Tabassum, Gazi",Crescendo Music,0
475d351d-9dd7-5043-8ba0-df61d262ee26,Black,2005,"Hindi, Film",Monty Sharma,Prasoon Joshi,YRF Music,0
429a6dc0-26e0-5fda-aca1-fefbe845fa3b,Blackmail,2005,"Hindi, Film",Himesh Reshammiya,Sameer,T-Series,0
