album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
fe28f61b-afde-5077-b70e-3b340bef7ab1,Aaj Sharabi Aankhon Se,1945,"Hindi, Non Film",Hemant Kumar,Faiyyaz Hashmi,Saregama,0.0
c5216182-75bd-5da7-ad49-b3e1ab580654,Aanchal Se Kyon Baandh Liya,1945,"Hindi, Non Film",Hemant Kumar,Hasrat Jaipuri,Saregama,0.0
7ab6825f-4fc2-54d1-b6e0-d719a1eff105,Ab Yaad Humein Kyun Aate Ho,1945,"Hindi, Non Film",Hemant Kumar,Faiyyaz Hashmi,Saregama,0.0
96dfe2e1-4690-5278-95a7-41e9919576af,Adhar,1945,"Hindi, Film",Shri Nath Tripathi,M.A. Razi,Columbia Records,0.0
c74546cf-266b-51ea-aa09-53354dbe1d37,Albeli,1945,"Hindi, Film",G.A. Chishti,"Shanti Swaroop - I, G.A. Chishti",Columbia Records,0.0
10ad3fce-ac3f-57a1-ad85-a9789a9c7fbb,Ameeree,1945,"Hindi, Film",Dakshina Tagore,,Columbia Records,0.0
30e731b0-7500-5fd6-85fd-77ca542513f3,Amrapali,1945,"Hindi, Film",Saraswati Devi,,Columbia Records,0.0
69ff52e9-dca6-5904-b698-318232d0ead5,Aye Shaam Ki Hawaon,1945,"Hindi, Non Film",Hemant Kumar,,Saregama,0.0
4b538277-8f79-5031-8ffd-578d2722c119,Bachpan,1945,"Hindi, Film",Shri Nath Tripathi,Ishwar Chandra Kapoor,Young India Records,0.0
31bd1487-491e-5239-ae64-4b7bab4dea22,Badi Maa,1945,"Hindi, Film",Datta Korgaonkar,"Zia Sarhadi, Raja Badhe, Anjum Pilibhiti",Columbia Records/Saregama,0.0
3dd038e1-a74a-5f36-9077-7f19e35bb22f,Ban Phool,1945,"Hindi, Film",Dhiren Mitra,"Pandit Madhur, Narendranath Tuli",Megaphone/Columbia Records,0.0
dad33fe4-cee8-5153-98d1-6b4ef2d4c210,Begum,1945,"Hindi, Film",Hari Prasanna Das,Gopal Singh Nepali,Saregama,0.0
2c50b411-587d-541e-affc-ac6eec4c4078,Bhaijaan,1945,"Hindi, Film",Shyam Sundar,Partau Lakhnavi,Columbia Records,0.0
c07a9f96-d163-5d89-8420-82a382b8bd4f,Bhala Tha Kitna Apna Bachpan,1945,"Hindi, Non Film",Kamal Dasgupta,Faiyyaz Hashmi,Saregama,0.0
639891d7-29c9-5580-b127-6166879e6e4e,Chalis Karod (Forty Crores),1945,"Hindi, Film",Govind Ram,"Pandit Indra, Ishwar Chandra Kapoor",Saregama,0.0
90682dd9-3856-53ff-861a-60832dda1ed8,Champa,1945,"Hindi, Film","Anupam Ghatak, Lachhiram Tamar",,Columbia Records,0.0
bbfcec6b-a1d9-5381-a35d-84c59fd6f061,Chand Chakori,1945,"Hindi, Film",Bulo C. Rani,"Wali Sahab, Pandit Indra, Kedar Sharma",Columbia Records,0.0
7a473610-667b-51dd-a73c-7dd72a285802,Chand Tara,1945,"Hindi, Film",Gyan Dutt,Swami Ramanand Saraswati,Saregama,0.0
601f722f-253f-559e-93ae-93a64f0e5bad,Chhamia,1945,"Hindi, Film",Gyan Dutt,"Pandit Indra, Kabil Amritsari",Saregama,0.0
42b39f65-391f-569a-92e5-d11d6141cf97,Devdasi,1945,"Hindi, Film",Krishna Chandra Dey,Narottam Vyas,Saregama,0.0
a9e2c402-b283-50de-9867-6ea9059521a1,Dhamki,1945,"Hindi, Film",Pandit Amarnath,Deena Nath Madhok,Columbia Records,0.0
ed3476da-5e7e-52c1-b151-01b0c6c3fadd,Dhanna Bhagat,1945,"Hindi, Film",Khemchand Prakash,"Wali Sahab, Pandit Indra, Khawar Zaman",Columbia Records,0.0
b52b46e6-d9e9-5500-a59f-292ce488ff7a,Dharm,1945,"Hindi, Film",Sajjad Hussain,"Shewan Rizvi, Baalam Pardesi",Saregama,0.0
aa33eb8b-c054-5822-8ea7-967504904b7f,Dil Ko Lekar Tum Kinare Ho,1945,"Hindi, Non Film",Durga Sen,B.C. Madhur,Saregama,0.0
84d4d4d9-192e-5ec1-a159-67b66d3e4c31,Dil Leke Bhula Dena,1945,"Hindi, Non Film",Hemant Kumar,,,0.0
d3a731a2-4839-540d-a517-8e31b87d8f70,Din Raat,1945,"Hindi, Film",Dada Chandekar,Santokh Nadim,Saregama,0.0
fe0b999d-a56d-5eff-a05b-e63ec42a6faf,Ek Din Ka Sultan,1945,"Hindi, Film","Shanti Kumar, Rafiq Ghaznavi, D. Gadkar",Wali Sahab,Saregama,0.0
efdf56ea-c8b2-5189-afe9-4c3eb7e8fb14,Gaon Ki Gori (Village Girl),1945,"Hindi, Film",Shyam Sundar,Wali Sahab,Jien-O-Phone/Columbia Records,0.0
8a99f4c7-fd6f-55f6-bf85-ace1e8cfb24c,Ghar,1945,"Hindi, Film",Allah Rakha,Roopbani,Columbia Records,0.0
be76fb8b-d383-5847-8696-b2ab76279e54,Ghulami,1945,"Hindi, Film",S.K. Pal,"Bharat Vyas, Josh Malihabadi, Majaz",Saregama,3.0
6318d5f2-d42b-5df6-b599-795d2661eda1,Hamara Sansar,1945,"Hindi, Film",Govind Ram,Ramesh Gupta,Columbia Records,0.0
7cdd38a7-566b-5b68-9d8c-636321717cb3,Hamrahi,1945,"Hindi, Film","Rai Chand Boral, Rabindranath Tagore","Munshi Zakir Hussain, Rabindranath Tagore",Columbia Records,4.5
35444244-b669-5b78-b99b-6cb29e57181d,Humayun,1945,"Hindi, Film",Ghulam Haider,"Shams Lakhnavi, Arzoo Lakhnavi, Vikar Ambalvi, Anjum Pilibhiti, Kavi Shant, Pandit Madhur",Saregama,0.0
f26d4a07-4e00-5a64-bd6c-95bdaedb4437,Jag Beeti Duniya Kehti,1945,"Hindi, Non Film",Durga Sen,B.C. Madhur,,0.0
cbd89ac2-dfd6-5c57-9fee-b8502f92bf6f,Kaise Kahoon,1945,"Hindi, Film",Pandit Amarnath,"Moti, Deena Nath Madhok, Sharma, Qamar Jalalabadi",Jien-O-Phone/Columbia Records,0.0
6bbab5b2-c94a-5bdb-b8f8-2962f247a9e7,Kul Kalank,1945,"Hindi, Film",Allah Rakha,Roopbani,Columbia Records,0.0
ba5dd378-8b49-5393-99f3-e7130bc45c56,Kurukshetra,1945,"Hindi, Film",Pandit Ganpat Rao,Jameel Mazhari,Columbia/Hindustan Records,0.0
2cea3d0c-c97e-581c-888c-e5746cc09e8f,Lakharani,1945,"Hindi, Film",Master Krishnarao,Qamar Jalalabadi,Saregama,0.0
88fe34f4-4cc3-5f61-a4cc-84a28d110bf6,Leila Majnu,1945,"Hindi, Film","Rafiq Ghaznavi, Govind Ram",Tanveer Naqvi,Young India Records,0.0
d36bf7c1-8108-583a-8928-30aaeb2829b6,Main Kya Karun,1945,"Hindi, Film",Neenu Majumdar,"Deena Nath Madhok, Rammurti Chaturvedi",Columbia Records,0.0
83a2a793-d427-5aed-afe5-5c105e8c459e,Main Saaz Bajaun Tum Gao,1945,"Hindi, Non Film",Kamal Dasgupta,Faiyyaz Hashmi,Saregama,0.0
508ed126-fe1f-5819-b856-055c23b987ba,Mast Hai Chhayi Basant Pavan Par,1945,"Hindi, Non Film",Hemant Kumar,,,0.0
