album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
73672415-8dc7-5172-b096-8e3495538e05,A Sound Affair,1985,"Hindi, Non Film",Jagjit Singh,"Shahid Meer, Firaq Gorakhpuri, Rana Sahri, Prem Warbartani, Bashir Badr, Rajinder Nath Rehbar, Saeed Rahi",Saregama,4.5
fc33feae-997e-5b59-b433-3bdf0f71762f,Aabshaar-E-Ghazal,1985,"Hindi, Non Film",Hariharan,"Bashir Badr, Mumtaz Rashid, Ibrahim Ashq, Nida Fazli, Naqsh Lyallpuri, Shakeel Badayuni, Saeed Rahi",CBS,0.0
70d64b5a-b05a-5b6e-b04b-f3f30af632a7,Aaj,1985,"Hindi, Film","Jagjit Singh, Chitra Singh","Madan Pal, Sudarshan Faakir",H.M.V.,3.33
7978b8ca-583d-5a66-a26f-385e9282f065,Aaj Ka Daur,1985,"Hindi, Film",Bappi Lahiri,Indeevar,Venus,0.0
315a9cba-f9e9-5342-ab9f-3082a66d5c5f,Aakhir Kyon?,1985,"Hindi, Film",Rajesh Roshan,Indeevar,T-Series,2.5
bd0bb9e7-5340-5cec-a434-b983845beb09,Aandhi Toofan,1985,"Hindi, Film",Bappi Lahiri,Anjaan,T-Series,0.0
c689469b-45ad-56a9-b1e1-e6cc0ab90530,Aar Paar,1985,"Hindi, Film",R.D. Burman,Anand Bakshi,H.M.V.,0.0
8fb1575a-ba45-560d-8b98-5c4faaa05c7e,Adventures Of Tarzan,1985,"Hindi, Film",Bappi Lahiri,Anjaan,H.M.V.,3.67
9c5c86aa-31c4-54fd-96e1-59be612cb2fe,Aitbaar,1985,"Hindi, Film",Bappi Lahiri,"Hasan Kamal, Farooq Qaiser",T-Series,4.67
973c4a0c-441f-59de-b644-db5d494336ef,Alag Alag,1985,"Hindi, Film",R.D. Burman,Anand Bakshi,T-Series,3.5
