album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
884b26ab-ff2b-5ff4-b0f9-6d7c2125324c,Trapped (Farebi Jaal),1931,"Hindi, Film",,Master Vasant,,0
07182ee9-438a-5ced-a528-841a7303acbe,Aankh Ka Tara (Matru Bhakti),1932,"Hindi, Film",Motilal Naik,,,0
420c2ca5-2da5-5de3-b5e5-d3711dfcdbf6,Madhuri,1932,"Hindi, Film",Pransukh Nayak,,H.M.V.,0
531a4fe7-377f-50ec-aa82-3247a211df95,Maya Machhindra,1932,"Hindi, Film",Govindrao Tembe,,Saregama,0
63c911d4-27b6-5d1a-b668-766b59c55300,Aurat Ka Pyar,1933,"Hindi, Film",Mushtaq Ahmed,Agha Hashar Kashmiri,,0
c77dc47a-ccaf-58ec-8311-c1c370f64a29,Daku Ki Ladki,1933,"Hindi, Film","Pransukh Nayak, Gadgil",,H.M.V.,0
d51b929c-a47f-504b-8eab-b95929ef6ccb,Karma (Fate),1933,"Hindi, Film",Ernst Broadhurst,"J.L. Freer Hunt, Roy Douglas",GCIL-HMV,0
65e6ef8d-d176-5fe2-94f7-16336deb1ceb,Lal-E-Yaman (Parwiz Parizad),1933,"Hindi, Film","Joseph David, Master Mohammed","Joseph David, Munshi Aashaq",HMV/Odeon Records,0
facc9fff-ab8a-5e50-a8c9-ded9279512b0,Miss 1933,1933,"Hindi, Film",Jhande Khan,,,0
77803905-2974-5bcd-aef9-ec79c9246ab8,Naqli Doctor,1933,"Hindi, Film",,,,0
8a2d9301-022d-5c82-a1ab-2d366a0f33d6,Puran Bhagat (Puran Bhakat),1933,"Hindi, Film",Rai Chand Boral,,HMV/Hindustan/New Theatres,0
1cae8c64-9e7e-5d22-a1d1-da7fec03e4e6,Sairandhri,1933,"Hindi, Film",Govindrao Tembe,,Prabhat Records,0
d736a114-89a7-55a4-96ac-d328f0887ae6,Saubhagya Sundari,1933,"Hindi, Film",Pransukh Nayak,Munshi Zamir,,0
968ad13a-5ffa-5ad4-9ddd-c12152198fc4,Vikram Charitra (Rajkumar Thagsen),1933,"Hindi, Film",,,,0
708954c4-4de7-5f9d-90b1-e4deba17f680,Yahoodi Ki Larki,1933,"Hindi, Film",Pankaj Mullick,"Agha Hashar Kashmiri, Mirza Ghalib",Hindusthan Records,0
9ea7d1a1-c2bf-5e92-b664-6256c2cb69fe,Aaj Kal (Today),1934,"Hindi, Film",S.P. Rane,Narsinh Mehta,Megaphone Records,0
