album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
46c6ff58-9563-5511-8519-bc4c9936a9f0,Aaj Ka Mahatma,1975,"Hindi, Film",Laxmikant - Pyarelal,Majrooh Sultanpuri,H.M.V.,0
14f55ca1-f405-5176-bcad-1a52c3c7f3d3,Aaja Sanam,1975,"Hindi, Film",Usha Khanna,"M.K. Javed, Kafil Azar, Indeevar",H.M.V.,0
40a3c517-c13c-5442-874a-df9984008fbc,Aakhri Daao,1975,"Hindi, Film",Laxmikant - Pyarelal,Hasrat Jaipuri,Polydor,3.0
410a3c2c-8411-53a1-a9b1-32d4e2ee6d8b,Aakraman,1975,"Hindi, Film",Laxmikant - Pyarelal,Anand Bakshi,H.M.V.,4.5
670f2a16-ca7d-50c7-bbef-b454f1179d0b,Aandhi,1975,"Hindi, Film",R.D. Burman,Gulzar,H.M.V.,4.0
119f9591-0e78-58a8-940b-03a310cf0789,Aawara Ladki,1975,"Hindi, Film",Mahesh - Naresh,Abhilash,H.M.V.,0
3611bc56-ed54-56a6-8afd-38f9b53a4fa9,Alakh Niranjan,1975,"Hindi, Film",Satyam,B.R. Tripathi,H.M.V.,0
a3cf8a4d-a645-5f91-ad40-2dbc2b60be95,Amanush,1975,"Hindi, Film",Shyamal Mitra,Indeevar,H.M.V.,0
e04ff812-e29f-557e-813e-72f378ab5f6a,Anari,1975,"Hindi, Film",Laxmikant - Pyarelal,Majrooh Sultanpuri,H.M.V.,3.0
8dad0a96-bf37-5ec5-bf76-7d81be0b7934,Andolan,1975,"Hindi, Film",Jaidev,"Ram Prasad Bismil, Verma Malik, Jan Nisar Akhtar, Meera Bai",H.M.V.,0
e5aff028-8535-58e9-8cee-8c054869b2ee,Anjane Mehman,1975,"Hindi, Film",Ajay Das,"Kusheshwar, Yogesh",H.M.V.,0
3d256b7a-ee61-5dfc-85dd-73e9af5f3e50,Anokha,1975,"Hindi, Film",Kalyanji - Anandji,"Indeevar, Saawan Kumar",H.M.V.,0
3b25ef6e-0688-5af6-9af4-33284fbfb0da,Apnapan Rakhna Mere Ghanshyam,1975,"Hindi, Non Film",,,Saregama,0
