album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
465b43e9-2103-59ec-b894-97cdf54479f8,Insaniyat,1955,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,0
fd3417d9-81c3-5287-a10f-011866242c85,Ja Tujhe Bhool Gaye,1955,"Hindi, Non Film",Hemant Kumar,Madhukar Rajasthani,Saregama,0
8f117684-456a-5eb2-9f6e-9906245575bf,Jab Shaam Ka Suraj,1955,"Hindi, Non Film",Hemant Kumar,Kanwar Kumar,Saregama,0
9881ad8a-9872-51a6-b89e-c912467f3aa7,Jagadguru Shankaracharya,1955,"Hindi, Film",Avinash Vyas,Bharat Vyas,H.M.V.,0
c137a5b2-9018-50d7-bf26-d1535e8a3cb7,Jai Mahadev,1955,"Hindi, Film",Manna Dey,Bharat Vyas,H.M.V.,0
2551dc63-f6db-5e9c-9b7d-172173af8736,Jalwa,1955,"Hindi, Film",Vinod,"Kaif Irfani, Verma Malik, Raja Mehdi Ali Khan, Saraswati Kumar Deepak, Aziz Kashmiri",H.M.V.,0
6266ad24-ada7-57e7-9062-1b49d22b423e,Jashan,1955,"Hindi, Film",Roshan,Rajendra Krishan,H.M.V.,0
e98c554b-3f27-544b-b9f4-36e0ae337b00,Jasoos,1955,"Hindi, Film",Iqbal,"Farooq Qaiser, Aziz Jamali, Bahar Ajmeri, Khawar Zaman",H.M.V.,0
5c92d326-f53e-5ea9-a6b5-194502a7366f,Jawab,1955,"Hindi, Film",Nashad,Khumar Barabankvi,H.M.V.,3.0
65e2d835-be50-5c93-88d3-4be3788553bb,Jhanak Jhanak Payal Baaje,1955,"Hindi, Film",Vasant Desai,"Hasrat Jaipuri, Meera Bai, Deewan Sharar, Saraswati Kumar Deepak",H.M.V.,4.0
5a26376e-ac29-513a-a7f7-1bff3ebd7731,Joru Ka Bhai,1955,"Hindi, Film",Jaidev,"Vishwamitra Adil, Narendra Sharma, Sahir Ludhianvi",H.M.V.,0
a211988e-ace5-50df-b868-b6e28c41cadf,Kanchan,1955,"Hindi, Film",Husnlal - Bhagatram,Rajendra Krishan,H.M.V.,0
53b79085-6cb9-5c7c-be46-d67114c433c5,Khandan,1955,"Hindi, Film",A.R. Qureshi,"Sarshar Sailani, Majrooh Sultanpuri, Tanveer Naqvi",H.M.V.,0
d1642af3-4a6e-5a01-bb09-8a2e64b8dbd5,Koi Mujhe Raat Ko Yaad Kare,1955,"Hindi, Non Film",Hemant Kumar,Kanwar Kumar,Saregama,0
88007b19-5da9-53ce-aaf6-e619b90e5a14,Kundan,1955,"Hindi, Film",Ghulam Mohammed,Shakeel Badayuni,H.M.V.,3.0
95f9dd84-93dd-593f-bb88-4dcf76a6e25e,Lagan,1955,"Hindi, Film",Hemant Kumar,Rajendra Krishan,H.M.V.,0
074dd92f-0bbd-5808-a72d-e74553da68aa,Lakhon Men Ek,1955,"Hindi, Film",Bhola Shreshtha,Hira Singh,H.M.V.,0
d94fad1d-0367-513f-aaf7-19991e93c2fc,Lutera,1955,"Hindi, Film",C. Ramchandra,"Rajendra Krishan, Jan Nisar Akhtar",H.M.V.,0
ae8bce22-639a-5f67-aff4-3ba20806a487,Madh Bhare Nain,1955,"Hindi, Film",S.D. Burman,Shailendra,H.M.V.,0
