album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
2d60ef9a-bf2d-529a-a78d-eb432cc7c650,Qahar,1997,"Hindi, Film",Anand - Milind,Anand Bakshi,Zee,0
1d8eb68b-1259-5fa8-906d-9049a4c6f12b,Saat Rang Ke Sapne,1997,"Hindi, Film",Nadeem - Shravan,Sameer,T-Series,2.67
1495e17e-74b2-5fc1-aadc-dfbc4506b077,Saaz,1997,"Hindi, Film","Rajkamal, Bhupen Hazarika, Yashwant Deo, Zakir Hussain",Javed Akhtar,Plus Music,4.0
a092f429-81e3-5ddb-9008-d6c4290521b6,Salma Pe Dil Aa Gaya,1997,"Hindi, Film",Aadesh Shrivastava,"Ravindra Jain, Saawan Kumar, Dev Kohli, Shyam Raj",Vatsa Music,2.5
e88d2373-2419-5b21-afd2-23af756f7b59,Sanam,1997,"Hindi, Film",Anand - Milind,Sameer,Tips,3.0
1f6ad373-786c-58ca-a002-50620975c3e6,Sapnay,1997,"Hindi, Film",A.R. Rahman,Javed Akhtar,RPG Music,4.2
f966ce17-9ac8-55d5-b997-619b14bcbd5c,Sapne Ki Baat,1997,"Hindi, Non Film",Raju Singh,"Manohar Iyer, Sonu Nigam, Shyam Raj, Yogesh",T-Series,0
8177773b-aae1-5b92-b2be-1764b4a4511f,Shahkaar,1997,"Hindi, Non Film",Talat Aziz,"Ibrahim Ashq, Qateel Shifai, Hasan Kazmi, Zafar Kaleem, Anwar Mirza Puri, Fana Nizami Kanpuri",Venus,0
01406578-abf9-58a0-8af9-335596ed334e,Shapath,1997,"Hindi, Film",Anand - Milind,Sameer,Shemaroo,3.0
2185eff9-2c52-5141-8fe1-005dbd9111e3,Sher-E-Hindustan,1997,"Hindi, Film",Anand - Milind,Dev Kohli,Shemaroo,0
5006b206-0de9-51c0-9b67-1bfc7ba5cff5,Suraj,1997,"Hindi, Film",Anand - Milind,Sameer,Zee Music Company,2.5
8161e860-5b6b-5a4f-8392-454890fb22d3,Tarazu,1997,"Hindi, Film",Rajesh Roshan,Sameer,Tips,0
25641e86-fad1-5dc3-bba2-e203e37eecec,Tere Husn Ka Jadoo Chal Gaya,1997,"Hindi, Non Film",Sajid - Wajid,,T-Series,0
70fbed91-1f22-5e2c-9730-ce59849f9ca6,Tu Dil De De...,1997,"Hindi, Non Film",Penaz Masani,,Sony Music,0
2053c088-2b1d-5d7d-ae93-095828b8ae82,Tum Yaad Aaye,1997,"Hindi, Non Film",Raju Singh,Javed Akhtar,Nupur Audio,4.5
4f2f30b8-c28f-52c3-9477-926ed1e622d5,Ulfat,1997,"Hindi, Non Film",Zafar Iqbal,Rehmat Khan,Venus,0
ea14ecf5-6229-5911-89c4-fc4c169f595f,Vande Mataram,1997,"Hindi, Non Film",A.R. Rahman,"Mehboob Kotwal, Vairamuthu, Tim Kody, Dinesh Kapoor, Bankim Chandra Chatterjee",Sony Music,3.5
29d36b41-8233-5843-b570-d5cb28b857cc,Virasat,1997,"Hindi, Film",Anu Malik,Javed Akhtar,H.M.V.,4.0
998ddb81-58df-5528-b1f0-eb9156139076,Vishwa Vidhaata,1997,"Hindi, Film",A.R. Rahman,"Mehboob Kotwal, P.K. Mishra",Bombino,3.0
d9695cf1-8a76-535f-845c-8c3e1e69af3a,Woh Ladki Yaad Aati Hai,1997,"Hindi, Non Film",Pankaj Udhas,"Nida Fazli, Sheen Kaaf Nizam",Venus,0
c0627f1d-7c8a-58e4-8dc4-d06db24e7f56,Yes Boss,1997,"Hindi, Film",Jatin - Lalit,Javed Akhtar,Venus,4.75
a78f0695-e226-5f26-b93a-26e9fb4679ed,Yeshwant,1997,"Hindi, Film",Anand - Milind,"Sameer, Hriday Lani",Zee Records,0
4fe98db0-dd83-5713-a1a2-a215227f761c,Zameer,1997,"Hindi, Film",Anand - Milind,Sameer,Tips,3.0
f69df87b-89b1-5ada-921e-91cd7220e156,Ziddi,1997,"Hindi, Film",Dilip Sen - Sameer Sen,Sameer,Vatsa Music,0
bbbe9df0-da98-5e22-903d-54f74defc92e,Zindagi Zindabad,1997,"Hindi, Film",Anand Modak,Gulzar,,0
f9dab6b5-9206-5c17-a468-c3b8a21f71e1,2001: Do Hazaar Ek,1998,"Hindi, Film",Anand Raj Anand,"Dev Kohli, Manoj Darpan",Tips,0
6d255b82-9e76-58a9-a29a-cf2816eeac18,Aag Aur Tezaab,1998,"Hindi, Film",Mahesh - Kishore,"Rani Malik, Kulwant Jani, Nayyar Jaunpuri, Tabish Romani",Tarana Audio,0
e532269e-92e3-5e89-8ab5-884379e49e9e,Aakrosh,1998,"Hindi, Film",Anand Raj Anand,"Dev Kohli, Faaiz Anwar, Anand Raj Anand",Shemaroo,0
dd1ed778-0d33-51fb-b63b-536a08ab2f47,Achanak,1998,"Hindi, Film",Dilip Sen - Sameer Sen,Sameer,Venus,0
bccc6579-22d3-5229-9ee3-3b6b07c3b430,Ajnabi Saaya,1998,"Hindi, Film",Dilip Dutta,"Gumrah Kyanati, Kaisar-Ul-Zaafari, Gufi Paintal, Satyen Sharma",Evershine,0
636c7e05-6e03-5f65-9d55-7a0ab1000f09,Angaaray,1998,"Hindi, Film","Aadesh Shrivastava, Sukhwinder Singh, Anu Malik, Raju Singh","Javed Akhtar, Madan Pal, Rani Malik",T-Series,3.4
7e539d44-f5d0-5262-b6d7-bdc92c2977fb,Asha Aur Khayyam,1998,"Hindi, Non Film",Khayyam,"Hasan Kamal, Nida Fazli, Ahmed Wasi, Naqsh Lyallpuri",Universal,4.0
0145f41a-91da-54de-8c2a-e0cf7baf669b,Aunty No. 1,1998,"Hindi, Film",Anand - Milind,Sameer,Venus,0
e2fd306f-f37e-5894-bc11-8dff7e5fc6ac,Bada Din,1998,"Hindi, Film",Jatin - Lalit,Javed Akhtar,Saregama,3.0
3c493f35-c791-5fe5-bb5e-49990dc769c2,Bade Miyan Chote Miyan,1998,"Hindi, Film",Viju Shah,Sameer,Tips,3.5
9ac41e50-22f0-500b-815a-940c0fe8e0e0,Banarasi Babu,1998,"Hindi, Film",Anand - Milind,Sameer,Ultra,0
9d9d034d-48b2-5a0c-849c-3eeb12bdaea3,Bandhan,1998,"Hindi, Film","Himesh Reshammiya, Anand Raj Anand","Sudhakar Sharma, Dev Kohli, Rajesh Malik, Arun Bhairav",Venus,3.5
0e29836b-2ae8-5e6b-946b-2766f8dac4d5,Barood,1998,"Hindi, Film",Anand - Milind,Sameer,Venus,0
d53096fe-9577-55c5-b53f-dbf639c7d004,Barsaat Ki Raat,1998,"Hindi, Film",Laxmikant - Pyarelal,Anand Bakshi,Venus,0
27679a35-1c2d-5ba9-a8dc-f7b9e73e6c43,Bombay Boys,1998,"English, Film","Ashutosh Pathak, Dhruv Ghanekar, Traditional, Merlin Dsouza, Asif Ali Beg","Javed Jaffrey, Kiran Kotrial, Bashir Sheikh, Manohar Iyer, Tara Sahgal, Traditional, Merlin Dsouza, Asif Ali Beg",BMG Crescendo,3.5
4e38484b-f213-5e5c-b225-b6a99e903849,Boondein,1998,"Hindi, Non Film","Mohit Chauhan, Kem Trivedi, Atul Mittal","Silk Route, Prasoon Joshi, Sailesh Sharma",Crescendo Music,4.5
e6ead9f9-9021-581c-b350-d3f17ad87060,Breathless,1998,"Hindi, Non Film",Shankar Mahadevan,Javed Akhtar,Saregama,4.67
c617cdd3-85d9-5f74-9ebe-888a3579d04c,Chandaal,1998,"Hindi, Film",Anand - Milind,Dev Kohli,Bombino,0
415d0cd0-75ae-5bb4-a606-306d11568141,Chhota Chetan,1998,"Hindi, Film",Anu Malik,Nitin Raikwar,T-Series,0
4575740d-4dda-545f-b6f0-a5537ffe39b3,China Gate,1998,"Hindi, Film",Anu Malik,Sameer,Tips,4.0
97b62917-d919-510b-91b9-ca1b4f69cb27,Dandnayak,1998,"Hindi, Film",Rajesh Roshan,Anand Bakshi,Time Audio,0
a1b10938-f6fb-5192-8880-11b8f4f69caf,Deewana Hoon Pagal Nahin,1998,"Hindi, Film",Aadesh Shrivastava,"Dev Kohli, Madan Pal, Anwar Sagar, Shyam Raj",Universal,0
aebc3789-e4d5-5368-9576-4f37b2791e0d,Deewane To Deewane Hain,1998,"Hindi, Non Film","Jawahar Wattal, Ravi Pawar",Shyam Anuragi,Magnasound,0
bff52811-b14d-5431-9680-0fff948efda3,Devta,1998,"Hindi, Film",Dilip Sen - Sameer Sen,"Dev Kohli, Anwar Sagar, Satyaprakash",Bombino,0
22cec2e3-3100-5a83-8490-01db326ef1f1,Dhoom,1998,"Hindi, Non Film","Palash Sen, D.J. Bhaduri, Gussy","Dahlia, Palash Sen, Debleena Bhaduri, Sam Panchmukhi",Archies Music,0
6ad811b9-7426-51cf-8e7f-7dd3e79224d4,Dhoondte Reh Jaaoge,1998,"Hindi, Film",Jatin - Lalit,Majrooh Sultanpuri,Shemaroo,0
083ed263-3dd6-5ecb-998d-03151930594c,Dil Se,1998,"Hindi, Film",A.R. Rahman,"Gulzar, Girish Puthencheri, Tejpal Kaur",Venus,4.75
5ec883cc-46c0-5743-82dd-1b5c1461dca5,Do Numri,1998,"Hindi, Film",Tabun Sutradhar,"Dev Kohli, Mumtaz Rashid, Meenakshi - II, Pravin Kumar - I",Merica Music,0
e9c4f2ee-6ddd-5d0c-b28c-d459d0dcb180,Doli Saja Ke Rakhna,1998,"Hindi, Film",A.R. Rahman,Mehboob Kotwal,T-Series,0
df6f69d9-b3d0-5cd0-9739-e037bd82f8bf,Dulhe Raja,1998,"Hindi, Film",Anand - Milind,Sameer,T-Series,0
8a4333d4-c7b0-5772-a5b7-694a21f3142c,Duplicate,1998,"Hindi, Film",Anu Malik,Javed Akhtar,H.M.V.,4.0
ff457380-4165-5134-886c-81584e93787c,Dushman,1998,"Hindi, Film",Uttam Singh,Anand Bakshi,H.M.V.,4.5
fe7fa01b-2548-569e-8be6-e0f87c27d180,Geetnuma,1998,"Hindi, Non Film",Pankaj Udhas,"Saeed Rahi, Salaam Machhli Shaherwale, Mumtaz Rashid, Zafar Gorakhpuri, Zameer Kazmi, Nizamuddin Nizam, Sudarshan Faakir",Universal,0
004667ed-28e5-5ba0-be04-bcd0e6e30f7e,Gharwali Baharwali,1998,"Hindi, Film",Anu Malik,"Dev Kohli, Sameer, Nitin Raikwar",T-Series,0
ba42005b-d1df-598f-847e-e66e2b5f5813,Ghulam,1998,"Hindi, Film",Jatin - Lalit,"Sameer, Nitin Raikwar, Vinoo Mahendra, Indeevar",Tips,4.5
90f80178-4e53-5d5c-9d2d-344a07180a1d,Gunda,1998,"Hindi, Film",Anand Raj Anand,"Dev Kohli, Zail Singh, Satyaprakash",Shemaroo,0
610abc9b-1f89-54b2-808b-7f5eaf55a8fa,Gurus Of Peace,1998,"Hindi, Non Film","Pritam, Lucky Ali, Bilal Maqsood, Faisal Kapadia, A.R. Rahman, Sandeep Chowta, Shankar - Ehsaan - Loy, Sandesh Shandilya, Nusrat Fateh Ali Khan, Kailash Kher, Sachin Gupta","Sandeep Srivastava, Javed Akhtar, Mehboob Kotwal, Anil Pandey, Nusrat Fateh Ali Khan, Kailash Kher, Rahat Fateh Ali Khan",Sony Music,0
68daab53-676f-5621-8a03-be5d14e48e11,Hafta Vasuli,1998,"Hindi, Film","Rajesh Roshan, Milind Sagar","Mohan Sharma - I, K.K. Verma, Deepak Balraj Vij, Vishweshwar Sharma, Maya Govind",Bombino,0
f33085bc-cc05-503f-a69c-c84bc3569e38,Haseena,1998,"Hindi, Non Film",Leslie Lewis,"Raajesh Johri, Dev Kohli",Universal,0
71615a21-9498-5d6c-9d40-bdfbfb2bf782,Hatyara,1998,"Hindi, Film",Dilip Sen - Sameer Sen,"Maya Govind, Nawab Arzoo, Satyaprakash",Shemaroo,0
ed53ea32-18af-55a2-91e9-0a36c397d8d9,Hero Hindustani,1998,"Hindi, Film",Anu Malik,"Prayag Raj, Rahat Indori, Gauhar Kanpuri, Zameer Kazmi, Dev Kohli",T-Series,0
2451e618-588e-5c90-8c07-a18c52a9e4f7,Himmatwala,1998,"Hindi, Film",Tabun Sutradhar,Dev Kohli,Krishna Music,0
d977b36c-9a02-5b72-86d6-00fce53031a7,Hitler,1998,"Hindi, Film",Dilip Sen - Sameer Sen,Sameer,Shemaroo,0
9e0814d9-ec17-5fe8-b032-bd851e1217eb,Ho Gayi Hai Mohabbat,1998,"Hindi, Non Film",Aslam,Roop Jauhari,Saregama,0
1e3b7bec-ba58-506f-84a1-1f5a6a37d468,Humse Badhkar Kaun,1998,"Hindi, Film",Viju Shah,Faaiz Anwar,Venus,0
074fdfca-44e5-5bb3-bf60-d0f1abd41cb7,Iski Topi Uske Sarr,1998,"Hindi, Film",Anu Malik,"Rani Malik, Vishweshwar Sharma, Faaiz Anwar, Dev Kohli, Shyam Anuragi",Shemaroo,0
0ad90ef9-a981-5142-8c1f-eb5c49b068ce,Jaane Jigar,1998,"Hindi, Film","Lalit Sen, Rajesh Roshan","Dev Kohli, Javed Akhtar",Vatsa Music,0
79b04b6e-0e4b-53ab-8348-a01a70611f63,Jab Pyaar Kisise Hota Hai,1998,"Hindi, Film",Jatin - Lalit,Anand Bakshi,Tips,4.0
21e1d006-e6ae-5702-9f4f-bae59d2c8df3,Jeans,1998,"Hindi, Film",A.R. Rahman,Javed Akhtar,T-Series,3.0
238a363c-d4f1-5a03-9555-1fb48bde783f,Jhooth Bole Kauwa Kaate,1998,"Hindi, Film",Anand - Milind,Anand Bakshi,Universal,0
5de0cc96-f73a-57a7-ae9b-937e9940fcac,Jiyaala,1998,"Hindi, Film",Altamash Khan,"Wajeda Tabassum, Ibn-E-Insha",Wajeda Music,0
775ba43d-608c-5e62-ad2a-7628677355ea,Kabhi Na Kabhi,1998,"Hindi, Film",A.R. Rahman,Javed Akhtar,Shemaroo,3.0
a64c295e-5ade-515f-b90c-bf8d308dd961,Kaif,1998,"Hindi, Non Film",Pankaj Udhas,"Riyaz Khairabadi, Nizamuddin Nizam, Saeed Rahi, Mumtaz Rashid",Universal,0
a9e029a4-223b-5b71-a78e-bd134dec6a3a,Kandisa,1998,"Hindi, Non Film",Indian Ocean,"Sanjeev Sharma, Gorakh Pandey, Traditional",Times,0
0beebfc6-83e8-5423-b96a-000412cfefc0,Kareeb,1998,"Hindi, Film",Anu Malik,Rahat Indori,Tips,4.0
ad1af441-bfa7-5dd0-8f75-85b85490a6bb,Kashish,1998,"Hindi, Non Film",Anup Jalota,"Israr Ansari, Rani Malik, Qaisar-Ul-Jafri, Rahi Kanpuri",T-Series,0
