album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
1005f786-5ad4-5ac0-8a81-2b2adda0aa97,Aaj Watan Ne Humen Pukara,1965,"Hindi, Film",Mohinder Kaur,Bismil Ludhianvi,H.M.V.,0
3dfbc255-cca4-5198-99fc-16f5da26cfe2,Aakash Deep,1965,"Hindi, Film",Chitragupt,Majrooh Sultanpuri,H.M.V.,3.0
2722fa98-3ef0-501c-986b-eb14005d8311,Aasman Mahal,1965,"Hindi, Film",J.P. Kaushik,"Ali Sardar Jafri, Majaz, Mirza Ghalib",H.M.V.,0
203512b9-e5d6-539b-ac86-6fbe5e93d0e0,Adhi Raat Ke Baad,1965,"Hindi, Film",Chitragupt,"Prem Dhawan, Anand Bakshi",H.M.V.,3.0
62a69692-5c38-5b5b-8d12-5f7d15d29de7,Adventures of Robin Hood And Bandits (The Adventures Of Robinhood),1965,"Hindi, Film",G.S. Kohli,"Anjaan, Yogesh Gaud",H.M.V.,3.5
06419ce6-1fc8-5753-a958-a361827a1c3b,Amar Jyoti,1965,"Hindi, Film",Vasant Desai,Bharat Vyas,H.M.V.,0
9dc20e69-52ad-5cd3-a531-c6a59160fe00,Arman Machal Rahe Hain,1965,"Hindi, Non Film",Jamal Sen,Hakeem Taqi Meer,H.M.V.,0
636b6982-9fb0-5fa2-a3cd-a2311cdc524a,Arzoo,1965,"Hindi, Film",Shankar - Jaikishan,Hasrat Jaipuri,H.M.V.,3.75
a267cb32-dbaa-531d-be28-f19187d01b6e,Azad Champion,1965,"Hindi, Film",Jugal Kishore,Upendra Trivedi,H.M.V.,0
cd539a99-2940-55e2-9d4a-39bbd44ba203,Baghi Hasina,1965,"Hindi, Film",P.D. Sharma,"Anjum Jaipuri, Shamim Jaipuri",H.M.V.,0
cddcae27-6d43-522e-bbc3-f3348b22bf8f,Bahu Beti,1965,"Hindi, Film",Ravi,Sahir Ludhianvi,H.M.V.,0
3a0dcc89-360b-5055-a08a-4b4769f3d46e,Bedaag,1965,"Hindi, Film",Roshan,"Shakeel Badayuni, Anand Bakshi",H.M.V.,3.67
c2899bc7-3772-538f-bbd3-75546db03953,Bekhabar,1965,"Hindi, Film",S. Mohinder,Raja Mehdi Ali Khan,H.M.V.,0
a7b48c11-a551-592a-ad50-dfb7a9f45653,Bharat Milap,1965,"Hindi, Film",Vasant Desai,Bharat Vyas,H.M.V.,0
9298a398-3a6b-5ad2-a4cf-844b5258320b,Bheegi Raat,1965,"Hindi, Film",Roshan,Majrooh Sultanpuri,H.M.V.,3.33
1c3add0b-a2bf-5e66-8903-ba69e0e72ac2,Bhool Na Jaana,1965,"Hindi, Film",Daan Singh,"Hariram Acharya, Indivar, Gulzar",H.M.V.,4.0
d9dd889b-e46c-5bbf-972e-426b263eb651,Bhoot Bungla,1965,"Hindi, Film",R.D. Burman,Hasrat Jaipuri,H.M.V.,4.25
4e6abcef-be47-5e7c-b2ec-0c0f60d98ce8,Black Arrow,1965,"Hindi, Film",Iqbal,Aziz Ghazi,H.M.V.,0
b971038e-0f36-5e5d-9e30-9783e706dc7f,Bombay Race Course,1965,"Hindi, Film",Madan Mohan,Rajendra Krishan,H.M.V.,2.5
280ce522-9fc2-50ae-aa95-33b7533aba77,Boxer,1965,"Hindi, Film",Laxmikant - Pyarelal,"Asad Bhopali, Anand Bakshi",H.M.V.,0
b0fb4fba-ee48-5782-95f2-6a9e7cee2627,Chand Aur Suraj,1965,"Hindi, Film",Salil Chowdhury,Shailendra,H.M.V.,4.67
8a09a326-fcd1-59c1-8b63-f6b752226554,Char Chakram,1965,"Hindi, Film",Suresh - Talwar,Anjaan,H.M.V.,0
4f746f36-55c4-5960-9d6d-c8fca5f5bdf2,Chhoti Chhoti Baten,1965,"Hindi, Film",Anil Biswas,Shailendra,H.M.V.,4.0
45f593c9-4159-5818-89c7-d53be686dae9,Chhupa Rustam,1965,"Hindi, Film",Bulo C. Rani,,,0
174307d2-7881-5c70-9f38-c54d99791b87,Chor Darwaza,1965,"Hindi, Film",Frank,Kafil Azar,H.M.V.,0
e7dc93fe-8372-5a82-bda4-f8eaccb03334,Daanveer Karna,1965,"Hindi, Film",K. Balakrishna,Prem Dhawan,H.M.V.,0
